"SKU_ID","Product","Product_Family","Concept_Type","Customer_Job","Target_Segment","Trend_Signal","Strategy_Fit","AM_Advantage","Customer_Inputs","Parametric_Variables","Max_L_mm","Max_W_mm","Max_H_mm","Primary_Material","Supports","Difficulty","Offer_Mode","Digital_Price_Band_EUR","Printed_Price_Band_EUR","Risk_Score","Risk_or_Limit","Opportunity_Score","Launch_Wave","Source_IDs","Design_Status","Next_Gate","Notes","Trend_Source_Strength_0_30","Trend_Signal_Magnitude_0_30","Trend_MetriMade_Fit_0_25","Trend_Whitespace_0_15","Trend_Score_0_100","Trend_Score_Basis","Trend_Score_Status","Trend_Score_Assessed_On","Trend_Score_Version"
"SKU-101","Irregular-corner drawer organizer infill","Exact-fit drawer extensions","Improvement of SKU-001","Recover drawer space around hinges; pipes; notches or skewed corners without rebuilding the full organizer.","Small-home; craft and home-office users","IKEA 2026 reports catch-all drawers in 68% of households and persistent clutter friction.","Core — exact-fit organization","A measured cutout becomes a low-volume filler that mass products cannot match.","Drawer outline; obstruction positions; desired pocket use","outline points; clearance; wall; pocket depth; label","220","220","80","PLA or PETG","None","Moderate","Digital first; printed later","9-16","24-45","2","Fit error and small loose module; no load-bearing claim.","96","Wave 1","S31; S11; S19; S32","P0 research backlog","Prototype three corner types plus a paper measurement template and clearance coupon.","Reusable DrawerFit extension; price and demand remain hypotheses.","30","24","25","7","86","Primary-source strength 30/30 (S31); signal magnitude 24/30; metriMade strategy fit 25/25; nonduplicate portfolio whitespace 7/15. Directional planning judgment; no German product-level demand proof.","DIRECTIONAL PLANNING SCORE — NOT VALIDATED DEMAND","2026-09-01","1.0"
"SKU-102","Tapered drawer perimeter filler rail set","Exact-fit drawer extensions","Improvement of SKU-001","Close wedge-shaped side gaps left by rectangular organizer grids in tapered or out-of-square drawers.","Older-home; custom-furniture and desk users","IKEA 2026 highlights widespread drawer clutter; exact fit is the portfolio moat.","Core — exact-fit organization","Parametric wedges monetize millimeter-level geometry that injection-molded trays ignore.","Front and rear gap; rail length; drawer height","front gap; rear gap; length; height; end relief","220","45","70","PLA","None","Easy","Digital first; printed later","6-12","18-34","1","Pinch-free loose filler only; customer measurement error.","95","Wave 1","S31; S11; S19; S32","P0 research backlog","Print a taper gauge; verify removal grip and three drawer finishes.","Bundle with DrawerFit rather than market as a generic spacer.","30","24","25","7","86","Primary-source strength 30/30 (S31); signal magnitude 24/30; metriMade strategy fit 25/25; nonduplicate portfolio whitespace 7/15. Directional planning judgment; no German product-level demand proof.","DIRECTIONAL PLANNING SCORE — NOT VALIDATED DEMAND","2026-09-01","1.0"
"SKU-103","Lift-out shallow upper drawer tray","Exact-fit drawer extensions","New platform variant","Add a removable second level for frequently used shallow items above deeper contents.","Home office; craft and utility drawers","IKEA 2026 identifies the drawer as a dominant unmanaged storage zone.","Core — exact-fit organization","Tray span; handle and support ledges can be generated for the exact drawer and lower layout.","Drawer width; depth; free height; lower-item keep-outs","span; depth; tray height; ledge; handle; divider map","220","220","45","PETG","None","Moderate","Digital first; printed later","12-20","32-58","3","Drop; binding and overload risk; light contents only until tested.","94","Wave 1","S31; S11; S19; S32","P0 research backlog","Build one 200 mm span prototype; test 500 removals and a conservative light-load limit.","Distinct customer job from a base grid: vertical use of deep drawers.","30","24","25","9","88","Primary-source strength 30/30 (S31); signal magnitude 24/30; metriMade strategy fit 25/25; nonduplicate portfolio whitespace 9/15. Directional planning judgment; no German product-level demand proof.","DIRECTIONAL PLANNING SCORE — NOT VALIDATED DEMAND","2026-09-01","1.0"
"SKU-104","Deep-drawer height riser platform","Exact-fit drawer extensions","New platform variant","Raise small trays to an accessible height while preserving a hidden cavity below.","Accessibility-minded adults; craft and office users","IKEA 2026 links organization with time lost finding possessions.","Core — exact-fit organization","Ribbed risers use little material and adapt to exact drawer depth and tray footprint.","Drawer envelope; desired lift; upper tray footprint","lift height; rib pitch; access notch; module split","220","220","90","PLA","None","Easy","Digital first; printed later","8-14","24-42","2","Light-duty organizer support only; no structural or child-use claim.","92","Wave 1","S31; S11; S19; S32","P0 research backlog","Compare ribbed and corner-post coupons; test creep under 2 kg for 30 days.","Pairs with existing organizer modules without changing their interface.","30","24","25","9","88","Primary-source strength 30/30 (S31); signal magnitude 24/30; metriMade strategy fit 25/25; nonduplicate portfolio whitespace 9/15. Directional planning judgment; no German product-level demand proof.","DIRECTIONAL PLANNING SCORE — NOT VALIDATED DEMAND","2026-09-01","1.0"
"SKU-105","Adapter-and-dongle drawer cassette","Electronics-accessory organization","Variation of SKU-001","Keep USB adapters; card readers and dongles visible and matched to labeled slots.","Remote workers; photographers; maker households","IKEA 2026 reports cable-heavy catch-all drawers and charger-search frustration.","Core — defined-set organization","Mixed measured silhouettes and label fields create a collection-specific insert.","Item count; body dimensions; connector keep-outs; labels","slot sizes; grip relief; label text; spare slots","220","160","45","PLA","None","Easy","Both after validation","9-15","25-44","2","Storage only; exclude damaged batteries and energized devices.","94","Wave 1","S31; S09; S11; S19; S32","P0 research backlog","Create a no-brand measurement card and test 20 generic adapter shapes.","Use descriptive connector types; no affiliation claims.","30","25","25","8","88","Primary-source strength 30/30 (S31; S09); signal magnitude 25/30; metriMade strategy fit 25/25; nonduplicate portfolio whitespace 8/15. Directional planning judgment; no German product-level demand proof.","DIRECTIONAL PLANNING SCORE — NOT VALIDATED DEMAND","2026-09-01","1.0"
"SKU-106","Watch-strap and jewelry drawer cassette","Personal-item organization","New","Separate watch straps; rings and small jewelry in a drawer without exposed wall display.","Adult collectors; gift buyers; small-bedroom users","Etsy 2026 favors personal keepsakes while IKEA 2026 shows sentimental-item retention.","Core — personalized defined-set organization","Exact compartment counts; initials and optional removable soft liners support premium variants.","Drawer size; item counts; strap width; text","cell count; cell size; finger relief; initials; liner allowance","220","180","45","PLA with optional TPU liners","None","Easy","Both after validation","10-18","28-55","2","Small parts; adult storage only; no precious-item security claim.","91","Wave 1","S01; S31; S11; S19; S32","P0 research backlog","Test scratch risk with TPU and felt alternatives; run a customer proof workflow.","Functional personalized gift; outgoing font and customer-content rules apply.","30","28","25","12","95","Primary-source strength 30/30 (S01; S31); signal magnitude 28/30; metriMade strategy fit 25/25; nonduplicate portfolio whitespace 12/15. Directional planning judgment; no German product-level demand proof.","DIRECTIONAL PLANNING SCORE — NOT VALIDATED DEMAND","2026-09-01","1.0"
"SKU-107","Sewing bobbin and presser-foot drawer cassette","Sewing and needlecraft organization","New","Store bobbins and machine feet together with a visible inventory and exact drawer footprint.","Sewers; quilters; repair hobbyists","Michaels 2026 reports sewing-pattern searches up 152% and strong analog-hobby growth.","Core — exact-fit craft organization","Mixed tiny interfaces and labeled inventory benefit from parametric spacing and replacement modules.","Drawer size; bobbin standard; foot types; counts","bobbin diameter; post size; foot cells; labels; module grid","220","180","40","PLA","None","Easy","Digital first; printed later","9-16","24-46","2","Small parts; adult craft use; verify no sharp burrs contact thread.","95","Wave 1","S33; S31; S11; S19; S32","P0 research backlog","Prototype two common bobbin standards and a generic foot-cell gauge.","Original organizer geometry; do not copy branded accessory trays.","30","30","25","11","96","Primary-source strength 30/30 (S33; S31); signal magnitude 30/30; metriMade strategy fit 25/25; nonduplicate portfolio whitespace 11/15. Directional planning judgment; no German product-level demand proof.","DIRECTIONAL PLANNING SCORE — NOT VALIDATED DEMAND","2026-09-01","1.0"
"SKU-108","Camera battery and media-card drawer cassette","Photo-gear organization","New","Inventory cool; undamaged camera batteries and memory cards in labeled drawer slots.","Adult photographers and video creators","IKEA 2026 shows charger and cable search pain; creators own mixed small electronics.","Core adjacent — exact-fit organization","Device-specific slot envelopes and status orientation flags create high fit value.","Battery body size; card formats; counts; drawer size","slot envelope; contact keep-out; status orientation; labels","220","160","45","PETG","None","Moderate","Digital first; printed later","10-18","28-52","3","Storage only; no charging; damaged or hot batteries excluded; electrical-product review required.","86","Wave 2","S31; S11; S15; S19; S32","P0 research backlog","Run heat-clearance and drop tests with inert dimensional dummies before any real-battery pilot.","Compatibility must be factual and tested; no camera-brand styling.","30","24","22","14","90","Primary-source strength 30/30 (S31); signal magnitude 24/30; metriMade strategy fit 22/25; nonduplicate portfolio whitespace 14/15. Directional planning judgment; no German product-level demand proof.","DIRECTIONAL PLANNING SCORE — NOT VALIDATED DEMAND","2026-09-01","1.0"
"SKU-109","Coin-capsule and medal drawer cassette","Collector drawer organization","New","Arrange capsules; medals and provenance labels in a fitted drawer archive.","Adult coin; medal and souvenir collectors","eBay 2025 reports strong passion-led participation in collectibles and antiques.","Core adjacent — defined-set collector organization","Variable diameters; depths and label cells suit parametric one-off layouts.","Drawer size; capsule diameters; counts; label size","cell diameter; depth; label pocket; finger relief; grid","220","180","40","PLA","None","Easy","Both after validation","10-18","28-54","2","Display/storage only; no conservation or security guarantee.","90","Wave 2","S34; S31; S11; S19; S32","P0 research backlog","Test abrasion with common plastic capsules and paper labels.","Avoid imagery from coins or medals; geometry stays generic.","30","25","22","14","91","Primary-source strength 30/30 (S34; S31); signal magnitude 25/30; metriMade strategy fit 22/25; nonduplicate portfolio whitespace 14/15. Directional planning judgment; no German product-level demand proof.","DIRECTIONAL PLANNING SCORE — NOT VALIDATED DEMAND","2026-09-01","1.0"
"SKU-110","Fountain-pen and ink-sample drawer cassette","Writing-tool organization","New","Store pens and sealed ink-sample vials horizontally with easy removal and spill separation.","Adult pen collectors; journalers; gift buyers","Etsy and Michaels 2026 both signal analog writing and journaling growth.","Core — exact-fit analog-hobby organization","Measured pen lengths and vial diameters create premium layouts for irregular collections.","Drawer size; pen lengths; pen diameters; vial diameter and count","channel width; divider; finger relief; vial grid; label","220","180","45","PLA with optional TPU pads","None","Easy","Both after validation","10-18","30-58","3","Closed-vial storage only; no leak containment or archival-material claim.","91","Wave 1","S01; S33; S31; S11; S19; S32","P0 research backlog","Test staining; pad abrasion and removal with inexpensive pens and water-filled dummy vials.","High giftability but needs a conservative liquid-use boundary.","30","26","25","14","95","Primary-source strength 30/30 (S01; S33; S31); signal magnitude 26/30; metriMade strategy fit 25/25; nonduplicate portfolio whitespace 14/15. Directional planning judgment; no German product-level demand proof.","DIRECTIONAL PLANNING SCORE — NOT VALIDATED DEMAND","2026-09-01","1.0"
