item,description,default_quantity,material_or_specification,notes
printed_side_segments,Segmented side-frame bodies,14,PETG,Seven per side
printed_rear_feet,Rear load-spreading floor feet,2,PETG,One per side
printed_front_feet,Front load-spreading floor feet,2,PETG,One per side
printed_tpu_pads,Replaceable floor pads,4,TPU 95A,One per foot; floor-contact process must be tested
printed_shelf_tiles,Shelf tiles,6,PETG,Three tiles per shelf
printed_shelf_brackets,Left/right shelf brackets,4,PETG,Two per shelf
printed_shelf_joiners,Underside shelf seam joiners,8,PETG,Two per seam; two seams per shelf
printed_fascias,Replaceable decorative shelf fascias,6,PLA or PETG,Three per shelf
printed_drawer_housing,Center-split drawer housing,2 halves,PETG,Joined with two M3 seam plates
printed_drawer,Center-split removable drawer,2 halves,PETG,Joined with two M3 seam plates
printed_bin,Center-split open bin,2 halves,PETG,Joined with two M3 seam plates
printed_tray,Upper shallow tray,1,PETG,Two-column default module
printed_hangers,Clip-on hangers,3,PETG,Two lower and one upper
printed_module_joiners,Wide-module seam joiner plates,6,PETG,Two each for housing drawer and bin; 3 mm plates must seat flat on both 6 mm boss tops
printed_header,Header backer and insert,1 set,PETG plus decorative filament,Image relief may replace the procedural insert
printed_wall_restraints,Height-adjustable wall-gap spacers,2,PETG,One per side; wall screws pass through spacer and rear rail
printed_coupons,Frame-fit M3 module-seam and floor-foot/TPU-lock coupons,3 sets,Production PETG plus TPU,Print before frame/modules
M5_bolts,Shelf bracket bolts,16,M5 x 45 plus two washers and locking nuts,20 mm frame plus 12 mm bracket stack; verify exact purchased stack
M4_inserts,Shelf heat-set inserts,24,M4 supplier-specific OD,Four bracket and eight seam axes per shelf
M4_shelf_screws,Shelf-to-bracket screws,8,M4 x 20 plus washer,8 mm bracket ledge plus verified insert engagement
M4_joiner_screws,Shelf-seam joiner screws,16,M4 x 16 plus washer,6 mm joiner plus verified insert engagement
M4_segment_bolts,Side-segment locks,24,M4 x 30 plus washers and locking nuts,Two per seam; six seams per side
M4_foot_bolts,Frame-to-foot locks,4,M4 x 50 plus two washers and locking nuts,One per floor foot through receiver and lower rail
M3_module_inserts,Wide-module seam inserts or captive nuts,12,Supplier-specific,Two per joiner plate; coupon required
M3_module_screws,Wide-module seam screws,12,M3 x 10 nominal,Match insert or captive-nut choice
wall_fasteners,Anti-tip wall screws and anchors,4,Substrate-specific purchased hardware,Two per side; release-blocking until selected and tested
