part_id,bezeichnung_de,part_en,qty,blank_length_mm,blank_width_mm,thickness_mm,material,shape,net_area_m2_each,blank_area_m2_each,cut_notes,drill_face_datums
P01,Bodenplatte,Bottom panel,1,965.0,965.0,18.0,birch plywood 18 mm (Multiplex Birke),pentagon (square blank + 1 diagonal cut),0.6386,0.9312,"Square blank 965 x 965 mm, then exactly ONE straight cut from (x=965, y=200) to (x=200, y=965). That cut is 1081.9 mm long and runs at 45 deg to both blank edges; it becomes the diagonal front. It removes a right triangle with 765 mm legs.","TOP: Panel lying with the TOP face up. Origin = the 90 deg corner between the two long straight edges (the niche corner). x along the wall-1 edge, y along the wall-2 edge. Mark 'OBEN', 'Wand 1' and 'Wand 2' on this face before drilling."
P02,Deckplatte,Top display plate,1,965.0,965.0,18.0,birch plywood 18 mm (Multiplex Birke),pentagon (square blank + 1 diagonal cut),0.6386,0.9312,Identical blank to P01: 965 x 965 mm square plus the same 45 deg diagonal cut. Cut both from one setup so the outlines match.,"TOP: Show face. NO holes at all - this is the display surface under the glass. Choose the flattest, cleanest side of the blank."
P08,Mittelboden (Einlegeboden),Fixed mid shelf,1,927.0,927.0,18.0,birch plywood 18 mm (Multiplex Birke),pentagon (square blank + 1 diagonal cut),0.5951,0.8593,"Square blank 927 x 927 mm plus one 45 deg diagonal cut, length 1028.1 mm.",TOP: Either face. Origin = the 90 deg corner between the two long straight edges. No holes; screws come from below through the battens.
P03,Rueckwand Wandseite 2,"Back panel, wall 2",1,965.0,864.0,18.0,birch plywood 18 mm (Multiplex Birke),rectangle,0.8338,0.8338,"Plain rectangle, all cuts 90 deg.","REF: Inner face (towards the cabinet interior). x from the REAR edge (the niche-corner end), y from the BOTTOM edge."
P04,Rueckwand Wandseite 1,"Back panel, wall 1",1,947.0,864.0,18.0,birch plywood 18 mm (Multiplex Birke),rectangle,0.8182,0.8182,"Plain rectangle, all cuts 90 deg. 18 mm shorter than P03 because it butts against the inner face of P03 at the corner.","REF: Inner face. x from the REAR edge (butts against P03), y from the BOTTOM edge."
P05,Seitenwange Wandseite 1,"Side return, wall 1 end",1,182.0,864.0,18.0,birch plywood 18 mm (Multiplex Birke),rectangle,0.1572,0.1572,"Plain rectangle, all cuts 90 deg.","REF: Inner face. x from the REAR edge (butts against P04), y from the BOTTOM edge."
P06,Seitenwange Wandseite 2,"Side return, wall 2 end",1,182.0,864.0,18.0,birch plywood 18 mm (Multiplex Birke),rectangle,0.1572,0.1572,"Plain rectangle, all cuts 90 deg. Mirror twin of P05.","REF: Inner face. x from the REAR edge (butts against P03), y from the BOTTOM edge."
P07,Mittelsteg unten,"Centre partition, lower",1,450.0,423.0,18.0,birch plywood 18 mm (Multiplex Birke),rectangle,0.1903,0.1903,"Plain rectangle, all cuts 90 deg. Both partitions identical.","SIDE-1: Face towards the wall-1 compartment. x from the FRONT edge, y from the BOTTOM edge. Mark FRONT and BOTTOM before drilling. | SIDE-2: Face towards the wall-2 compartment. x from the FRONT edge, y from the BOTTOM edge (same datums, read on the other face)."
P09,Mittelsteg oben,"Centre partition, upper",1,450.0,423.0,18.0,birch plywood 18 mm (Multiplex Birke),rectangle,0.1903,0.1903,"Plain rectangle, all cuts 90 deg. Both partitions identical.","SIDE-1: Face towards the wall-1 compartment. x from the FRONT edge, y from the BOTTOM edge. Mark FRONT and BOTTOM before drilling. | SIDE-2: Face towards the wall-2 compartment. x from the FRONT edge, y from the BOTTOM edge (same datums, read on the other face)."
P10,Tuer,Door,4,539.0,439.0,18.0,birch plywood 18 mm (Multiplex Birke),rectangle,0.2366,0.2366,"Plain rectangle, all cuts 90 deg. Four identical blanks.","INNER: Inner face (towards the cabinet). Lay the door INNER FACE UP with the HINGE EDGE to the LEFT and the BOTTOM edge DOWN. x from the hinge edge, y from the bottom edge. All four blanks are identical; only the two cup heights differ between the drill variants."
P11,Glasplatte,Glass top plate,1,961.0,961.0,6.0,"ESG (toughened), polished edges, ground/radiused corners",pentagon (square blank + 1 diagonal cut),0.6318,0.9235,"Made to measure by a glazier. TOUGHENED (ESG) - it cannot be recut, so order it only after the built top plate has been measured.",TOP: No holes. Supply the glazier with exports/dxf/P11-glass.dxf.
L01,Traglatte Rueckwand Wand 2,Traglatte Rueckwand Wand 2,1,907.0,20.0,20.0,softwood square batten (Vierkantleiste Kiefer/Fichte),square batten,,,Cut on site with a mitre or hand saw; length is not critical to 1 mm.,"Screwed to the inner face of P03, top edge at z=541 mm. Carries the mid shelf."
L02,Traglatte Rueckwand Wand 1,Traglatte Rueckwand Wand 1,1,907.0,20.0,20.0,softwood square batten (Vierkantleiste Kiefer/Fichte),square batten,,,Cut on site with a mitre or hand saw; length is not critical to 1 mm.,"Screwed to the inner face of P04, top edge at z=541 mm."
L03,Traglatte Seitenwange,Traglatte Seitenwange,2,143.0,20.0,20.0,softwood square batten (Vierkantleiste Kiefer/Fichte),square batten,,,Cut on site with a mitre or hand saw; length is not critical to 1 mm.,"Screwed to the inner faces of P05 and P06, top edge at z=541 mm."
L04,Eckleiste unten,Eckleiste unten,3,423.0,20.0,20.0,softwood square batten (Vierkantleiste Kiefer/Fichte),square batten,,,Cut on site with a mitre or hand saw; length is not critical to 1 mm.,"Inside vertical corner batten, lower section, in the three inside corners P03/P04, P04/P05 and P03/P06. Its top edge also carries the shelf corner, so the shelf needs no notch."
L05,Eckleiste oben,Eckleiste oben,3,423.0,20.0,20.0,softwood square batten (Vierkantleiste Kiefer/Fichte),square batten,,,Cut on site with a mitre or hand saw; length is not critical to 1 mm.,"Same three corners, upper section."
