SKU_ID,Product,Product_Family,Concept_Type,Purpose,Customer_Job,Target_Segment,Trend_Signal,Strategy_Fit,AM_Advantage,Customer_Inputs,Parametric_Variables,Max_L_mm,Max_W_mm,Max_H_mm,Primary_Material,Supports,Difficulty,Offer_Mode,Digital_Price_Band_EUR,Printed_Price_Band_EUR,Risk_Score,Risk_or_Limit,Opportunity_Score,Launch_Wave,Source_IDs,Design_Status,Next_Gate,Notes,Trend_Source_Strength_0_30,Trend_Signal_Magnitude_0_30,Trend_MetriMade_Fit_0_25,Trend_Whitespace_0_15,Trend_Score_0_100,Trend_Score_Basis,Trend_Score_Status,Preflight_Archetype,Critical_Interface,Evidence_Route,Manufacturing_Baseline,Verification_Plan,REQ,CTX,PAR,INT,CPL,MOT,GEO,PHY,MAT,EXT,VER,PC_0_100,Complexity,R_Scope,R_Requirements,R_Critical_Interfaces,R_Manufacturing_Profile,R_Verification,Readiness,Readiness_Basis,Criticality,Current_Lane,Target_Lane_After_Evidence,Confidence,Design_Release,Hard_Gates,Preflight_Short,Preflight_Status,Assessed_On,Assessment_Version
SKU-201,Exact-fit sofa-side remote and notepad insert,Small-space dry organization,New,"Fit one measured sofa-console or side-table cubby to separate remotes, a notepad and capped pens.","Fit one measured sofa-console or side-table cubby to separate remotes, a notepad and capped pens.","Adults in compact homes, rentals and home offices","IKEA's Germany-inclusive 2026 survey reports catch-all storage in 68% of homes, kitchen counters as the leading clutter point, and strong sentimental retention.",Core — exact-fit or defined-set organization for small living and office spaces,Measured envelope and item dimensions become a one-off exact-fit insert that mass products cannot economically match.,Available envelope; item list and count; largest item dimensions; access direction; optional label text,length; width; height; compartment count; divider positions; access cutouts; labels; corner radius,210,150,85,PLA or PETG,None,Moderate,Digital first; printed after fulfillment qualification,8-16,24-52,1,"Dry indoor organization for light personal items only; no secure-storage, structural, electrical, protective or child-use claim.",94,Research batch 3,S31; S32,P0 research backlog,"Run the measurement workflow on one real envelope, then print the smallest fit corner or divider coupon before a full prototype.","metriMade candidate only; trend, price and demand remain hypotheses until German marketplace and customer validation.",30,24,25,13,92,Primary-source strength + signal magnitude + metriMade strategy fit + nonduplicate portfolio whitespace; components are directional planning judgments.,DIRECTIONAL PLANNING SCORE — NOT VALIDATED DEMAND,EXACT_FIT,Measured dry host envelope and the defined light-item set,E2 route: customer measurement guide plus scaled overhead photo and one independent control dimension; exact variant remains unknown.,"Candidate baseline: common 220 x 220 x 250 mm FFF envelope, PLA or PETG, support-free orientation; exact printer, filament product/color/batch, nozzle and process JSON remain UNKNOWN.","Dimension check, insertion/removal test, finger-access review, rocking/tip check and surface-mark inspection with inert representative items.",2,2,1,2,1,0,1,1,1,0,2,30.5,C2,R2,R2,R2,R2,R2,R2,"Purpose, exclusions, envelope, measurable inputs, critical-interface route, candidate process envelope and test method are specified; exact customer variant and complete process evidence remain open.",K1,E,B,LOW_UNKNOWN,CONCEPT_ONLY,G0 PASS; G1 PASS; G2 WARN; G3 FAIL; G4 PASS; G5 PASS; G6 PASS,C2 · R2 · K1 · Lane E · LOW_UNKNOWN,STRUCTURED RESEARCH PREFLIGHT R2 — NOT PRODUCT RELEASE APPROVAL,2026-08-31,1.0
SKU-202,Narrow-bookcase stationery tower insert,Small-space dry organization,New,"Turn a measured narrow bookcase gap into vertical zones for notebooks, envelopes and capped pens.","Turn a measured narrow bookcase gap into vertical zones for notebooks, envelopes and capped pens.","Adults in compact homes, rentals and home offices","IKEA's Germany-inclusive 2026 survey reports catch-all storage in 68% of homes, kitchen counters as the leading clutter point, and strong sentimental retention.",Core — exact-fit or defined-set organization for small living and office spaces,Measured envelope and item dimensions become a one-off exact-fit insert that mass products cannot economically match.,Available envelope; item list and count; largest item dimensions; access direction; optional label text,length; width; height; compartment count; divider positions; access cutouts; labels; corner radius,210,120,220,PLA or PETG,None,Moderate,Digital first; printed after fulfillment qualification,8-16,24-52,1,"Dry indoor organization for light personal items only; no secure-storage, structural, electrical, protective or child-use claim.",93,Research batch 3,S31; S32,P0 research backlog,"Run the measurement workflow on one real envelope, then print the smallest fit corner or divider coupon before a full prototype.","metriMade candidate only; trend, price and demand remain hypotheses until German marketplace and customer validation.",30,24,25,12,91,Primary-source strength + signal magnitude + metriMade strategy fit + nonduplicate portfolio whitespace; components are directional planning judgments.,DIRECTIONAL PLANNING SCORE — NOT VALIDATED DEMAND,EXACT_FIT,Measured dry host envelope and the defined light-item set,E2 route: customer measurement guide plus scaled overhead photo and one independent control dimension; exact variant remains unknown.,"Candidate baseline: common 220 x 220 x 250 mm FFF envelope, PLA or PETG, support-free orientation; exact printer, filament product/color/batch, nozzle and process JSON remain UNKNOWN.","Dimension check, insertion/removal test, finger-access review, rocking/tip check and surface-mark inspection with inert representative items.",2,2,1,2,1,0,1,1,1,0,2,30.5,C2,R2,R2,R2,R2,R2,R2,"Purpose, exclusions, envelope, measurable inputs, critical-interface route, candidate process envelope and test method are specified; exact customer variant and complete process evidence remain open.",K1,E,B,LOW_UNKNOWN,CONCEPT_ONLY,G0 PASS; G1 PASS; G2 WARN; G3 FAIL; G4 PASS; G5 PASS; G6 PASS,C2 · R2 · K1 · Lane E · LOW_UNKNOWN,STRUCTURED RESEARCH PREFLIGHT R2 — NOT PRODUCT RELEASE APPROVAL,2026-08-31,1.0
SKU-203,Desk-pedestal side-gap vertical file,Small-space dry organization,New,Use the measured gap beside a desk pedestal for upright folders and current-project papers.,Use the measured gap beside a desk pedestal for upright folders and current-project papers.,"Adults in compact homes, rentals and home offices","IKEA's Germany-inclusive 2026 survey reports catch-all storage in 68% of homes, kitchen counters as the leading clutter point, and strong sentimental retention.",Core — exact-fit or defined-set organization for small living and office spaces,Measured envelope and item dimensions become a one-off exact-fit insert that mass products cannot economically match.,Available envelope; item list and count; largest item dimensions; access direction; optional label text,length; width; height; compartment count; divider positions; access cutouts; labels; corner radius,220,90,220,PLA or PETG,None,Moderate,Digital first; printed after fulfillment qualification,8-16,24-52,1,"Dry indoor organization for light personal items only; no secure-storage, structural, electrical, protective or child-use claim.",93,Research batch 3,S31; S32,P0 research backlog,"Run the measurement workflow on one real envelope, then print the smallest fit corner or divider coupon before a full prototype.","metriMade candidate only; trend, price and demand remain hypotheses until German marketplace and customer validation.",30,24,25,12,91,Primary-source strength + signal magnitude + metriMade strategy fit + nonduplicate portfolio whitespace; components are directional planning judgments.,DIRECTIONAL PLANNING SCORE — NOT VALIDATED DEMAND,EXACT_FIT,Measured dry host envelope and the defined light-item set,E2 route: customer measurement guide plus scaled overhead photo and one independent control dimension; exact variant remains unknown.,"Candidate baseline: common 220 x 220 x 250 mm FFF envelope, PLA or PETG, support-free orientation; exact printer, filament product/color/batch, nozzle and process JSON remain UNKNOWN.","Dimension check, insertion/removal test, finger-access review, rocking/tip check and surface-mark inspection with inert representative items.",2,2,1,2,1,0,1,1,1,0,2,30.5,C2,R2,R2,R2,R2,R2,R2,"Purpose, exclusions, envelope, measurable inputs, critical-interface route, candidate process envelope and test method are specified; exact customer variant and complete process evidence remain open.",K1,E,B,LOW_UNKNOWN,CONCEPT_ONLY,G0 PASS; G1 PASS; G2 WARN; G3 FAIL; G4 PASS; G5 PASS; G6 PASS,C2 · R2 · K1 · Lane E · LOW_UNKNOWN,STRUCTURED RESEARCH PREFLIGHT R2 — NOT PRODUCT RELEASE APPROVAL,2026-08-31,1.0
SKU-204,Folded-clothing shelf separator pair,Small-space dry organization,Variation of SKU-117,Keep two light folded-clothing stacks distinct on one measured dry wardrobe shelf.,Keep two light folded-clothing stacks distinct on one measured dry wardrobe shelf.,"Adults in compact homes, rentals and home offices","IKEA's Germany-inclusive 2026 survey reports catch-all storage in 68% of homes, kitchen counters as the leading clutter point, and strong sentimental retention.",Core — exact-fit or defined-set organization for small living and office spaces,"A small coordinated module family adapts count, spacing and labels to a defined collection while reusing one interface system.",Available envelope; item list and count; largest item dimensions; access direction; optional label text,length; width; height; compartment count; divider positions; access cutouts; labels; corner radius,220,180,160,PLA or PETG,None,Moderate,Digital first; printed after fulfillment qualification,9-17,28-58,1,"Dry indoor organization for light personal items only; no secure-storage, structural, electrical, protective or child-use claim.",91,Research batch 3,S31; S32,P0 research backlog,"Run the measurement workflow on one real envelope, then print the smallest fit corner or divider coupon before a full prototype.","metriMade candidate only; trend, price and demand remain hypotheses until German marketplace and customer validation.",30,24,25,10,89,Primary-source strength + signal magnitude + metriMade strategy fit + nonduplicate portfolio whitespace; components are directional planning judgments.,DIRECTIONAL PLANNING SCORE — NOT VALIDATED DEMAND,MODULAR,Measured dry host envelope and the defined light-item set,E2 route: customer measurement guide plus scaled overhead photo and one independent control dimension; exact variant remains unknown.,"Candidate baseline: common 220 x 220 x 250 mm FFF envelope, PLA or PETG, support-free orientation; exact printer, filament product/color/batch, nozzle and process JSON remain UNKNOWN.","Dimension check, insertion/removal test, finger-access review, rocking/tip check and surface-mark inspection with inert representative items.",2,1,2,2,2,0,1,1,1,0,2,34.25,C2,R2,R2,R2,R2,R2,R2,"Purpose, exclusions, envelope, measurable inputs, critical-interface route, candidate process envelope and test method are specified; exact customer variant and complete process evidence remain open.",K1,E,B,LOW_UNKNOWN,CONCEPT_ONLY,G0 PASS; G1 PASS; G2 WARN; G3 FAIL; G4 PASS; G5 PASS; G6 PASS,C2 · R2 · K1 · Lane E · LOW_UNKNOWN,STRUCTURED RESEARCH PREFLIGHT R2 — NOT PRODUCT RELEASE APPROVAL,2026-08-31,1.0
SKU-205,Sock-pair drawer lane insert,Small-space dry organization,Variation of SKU-001,Create labeled removable lanes for a defined sock collection inside one measured drawer.,Create labeled removable lanes for a defined sock collection inside one measured drawer.,"Adults in compact homes, rentals and home offices","IKEA's Germany-inclusive 2026 survey reports catch-all storage in 68% of homes, kitchen counters as the leading clutter point, and strong sentimental retention.",Core — exact-fit or defined-set organization for small living and office spaces,Measured envelope and item dimensions become a one-off exact-fit insert that mass products cannot economically match.,Available envelope; item list and count; largest item dimensions; access direction; optional label text,length; width; height; compartment count; divider positions; access cutouts; labels; corner radius,220,210,75,PLA or PETG,None,Moderate,Digital first; printed after fulfillment qualification,8-16,24-52,1,"Dry indoor organization for light personal items only; no secure-storage, structural, electrical, protective or child-use claim.",93,Research batch 3,S31; S32,P0 research backlog,"Run the measurement workflow on one real envelope, then print the smallest fit corner or divider coupon before a full prototype.","metriMade candidate only; trend, price and demand remain hypotheses until German marketplace and customer validation.",30,24,25,12,91,Primary-source strength + signal magnitude + metriMade strategy fit + nonduplicate portfolio whitespace; components are directional planning judgments.,DIRECTIONAL PLANNING SCORE — NOT VALIDATED DEMAND,EXACT_FIT,Measured dry host envelope and the defined light-item set,E2 route: customer measurement guide plus scaled overhead photo and one independent control dimension; exact variant remains unknown.,"Candidate baseline: common 220 x 220 x 250 mm FFF envelope, PLA or PETG, support-free orientation; exact printer, filament product/color/batch, nozzle and process JSON remain UNKNOWN.","Dimension check, insertion/removal test, finger-access review, rocking/tip check and surface-mark inspection with inert representative items.",2,2,1,2,1,0,1,1,1,0,2,30.5,C2,R2,R2,R2,R2,R2,R2,"Purpose, exclusions, envelope, measurable inputs, critical-interface route, candidate process envelope and test method are specified; exact customer variant and complete process evidence remain open.",K1,E,B,LOW_UNKNOWN,CONCEPT_ONLY,G0 PASS; G1 PASS; G2 WARN; G3 FAIL; G4 PASS; G5 PASS; G6 PASS,C2 · R2 · K1 · Lane E · LOW_UNKNOWN,STRUCTURED RESEARCH PREFLIGHT R2 — NOT PRODUCT RELEASE APPROVAL,2026-08-31,1.0
SKU-206,Necktie-roll drawer matrix,Small-space dry organization,New,Store a measured set of rolled neckties in visible labeled cells without stacking.,Store a measured set of rolled neckties in visible labeled cells without stacking.,"Adults in compact homes, rentals and home offices","IKEA's Germany-inclusive 2026 survey reports catch-all storage in 68% of homes, kitchen counters as the leading clutter point, and strong sentimental retention.",Core — exact-fit or defined-set organization for small living and office spaces,Measured envelope and item dimensions become a one-off exact-fit insert that mass products cannot economically match.,Available envelope; item list and count; largest item dimensions; access direction; optional label text,length; width; height; compartment count; divider positions; access cutouts; labels; corner radius,220,210,85,PLA or PETG,None,Moderate,Digital first; printed after fulfillment qualification,8-16,24-52,1,"Dry indoor organization for light personal items only; no secure-storage, structural, electrical, protective or child-use claim.",93,Research batch 3,S31; S32,P0 research backlog,"Run the measurement workflow on one real envelope, then print the smallest fit corner or divider coupon before a full prototype.","metriMade candidate only; trend, price and demand remain hypotheses until German marketplace and customer validation.",30,24,25,12,91,Primary-source strength + signal magnitude + metriMade strategy fit + nonduplicate portfolio whitespace; components are directional planning judgments.,DIRECTIONAL PLANNING SCORE — NOT VALIDATED DEMAND,EXACT_FIT,Measured dry host envelope and the defined light-item set,E2 route: customer measurement guide plus scaled overhead photo and one independent control dimension; exact variant remains unknown.,"Candidate baseline: common 220 x 220 x 250 mm FFF envelope, PLA or PETG, support-free orientation; exact printer, filament product/color/batch, nozzle and process JSON remain UNKNOWN.","Dimension check, insertion/removal test, finger-access review, rocking/tip check and surface-mark inspection with inert representative items.",2,2,1,2,1,0,1,1,1,0,2,30.5,C2,R2,R2,R2,R2,R2,R2,"Purpose, exclusions, envelope, measurable inputs, critical-interface route, candidate process envelope and test method are specified; exact customer variant and complete process evidence remain open.",K1,E,B,LOW_UNKNOWN,CONCEPT_ONLY,G0 PASS; G1 PASS; G2 WARN; G3 FAIL; G4 PASS; G5 PASS; G6 PASS,C2 · R2 · K1 · Lane E · LOW_UNKNOWN,STRUCTURED RESEARCH PREFLIGHT R2 — NOT PRODUCT RELEASE APPROVAL,2026-08-31,1.0
SKU-207,Hair-accessory drawer channel set,Small-space dry organization,Variation of SKU-010,"Separate adult scrunchies, barrettes and cool hair accessories in a measured vanity drawer.","Separate adult scrunchies, barrettes and cool hair accessories in a measured vanity drawer.","Adults in compact homes, rentals and home offices","IKEA's Germany-inclusive 2026 survey reports catch-all storage in 68% of homes, kitchen counters as the leading clutter point, and strong sentimental retention.",Core — exact-fit or defined-set organization for small living and office spaces,"A small coordinated module family adapts count, spacing and labels to a defined collection while reusing one interface system.",Available envelope; item list and count; largest item dimensions; access direction; optional label text,length; width; height; compartment count; divider positions; access cutouts; labels; corner radius,220,180,65,PLA or PETG,None,Moderate,Digital first; printed after fulfillment qualification,9-17,28-58,1,"Dry indoor organization for light personal items only; no secure-storage, structural, electrical, protective or child-use claim.",92,Research batch 3,S31; S32,P0 research backlog,"Run the measurement workflow on one real envelope, then print the smallest fit corner or divider coupon before a full prototype.","metriMade candidate only; trend, price and demand remain hypotheses until German marketplace and customer validation.",30,24,25,11,90,Primary-source strength + signal magnitude + metriMade strategy fit + nonduplicate portfolio whitespace; components are directional planning judgments.,DIRECTIONAL PLANNING SCORE — NOT VALIDATED DEMAND,MODULAR,Measured dry host envelope and the defined light-item set,E2 route: customer measurement guide plus scaled overhead photo and one independent control dimension; exact variant remains unknown.,"Candidate baseline: common 220 x 220 x 250 mm FFF envelope, PLA or PETG, support-free orientation; exact printer, filament product/color/batch, nozzle and process JSON remain UNKNOWN.","Dimension check, insertion/removal test, finger-access review, rocking/tip check and surface-mark inspection with inert representative items.",2,1,2,2,2,0,1,1,1,0,2,34.25,C2,R2,R2,R2,R2,R2,R2,"Purpose, exclusions, envelope, measurable inputs, critical-interface route, candidate process envelope and test method are specified; exact customer variant and complete process evidence remain open.",K1,E,B,LOW_UNKNOWN,CONCEPT_ONLY,G0 PASS; G1 PASS; G2 WARN; G3 FAIL; G4 PASS; G5 PASS; G6 PASS,C2 · R2 · K1 · Lane E · LOW_UNKNOWN,STRUCTURED RESEARCH PREFLIGHT R2 — NOT PRODUCT RELEASE APPROVAL,2026-08-31,1.0
SKU-208,Handbag dust-bag shelf label corral,Small-space dry organization,New,Keep folded empty dust bags upright and labeled beside their handbags on a dry shelf.,Keep folded empty dust bags upright and labeled beside their handbags on a dry shelf.,"Adults in compact homes, rentals and home offices","IKEA's Germany-inclusive 2026 survey reports catch-all storage in 68% of homes, kitchen counters as the leading clutter point, and strong sentimental retention.",Core — exact-fit or defined-set organization for small living and office spaces,Measured envelope and item dimensions become a one-off exact-fit insert that mass products cannot economically match.,Available envelope; item list and count; largest item dimensions; access direction; optional label text,length; width; height; compartment count; divider positions; access cutouts; labels; corner radius,200,140,160,PLA or PETG,None,Moderate,Digital first; printed after fulfillment qualification,8-16,24-52,1,"Dry indoor organization for light personal items only; no secure-storage, structural, electrical, protective or child-use claim.",93,Research batch 3,S31; S32,P0 research backlog,"Run the measurement workflow on one real envelope, then print the smallest fit corner or divider coupon before a full prototype.","metriMade candidate only; trend, price and demand remain hypotheses until German marketplace and customer validation.",30,24,25,12,91,Primary-source strength + signal magnitude + metriMade strategy fit + nonduplicate portfolio whitespace; components are directional planning judgments.,DIRECTIONAL PLANNING SCORE — NOT VALIDATED DEMAND,EXACT_FIT,Measured dry host envelope and the defined light-item set,E2 route: customer measurement guide plus scaled overhead photo and one independent control dimension; exact variant remains unknown.,"Candidate baseline: common 220 x 220 x 250 mm FFF envelope, PLA or PETG, support-free orientation; exact printer, filament product/color/batch, nozzle and process JSON remain UNKNOWN.","Dimension check, insertion/removal test, finger-access review, rocking/tip check and surface-mark inspection with inert representative items.",2,2,1,2,1,0,1,1,1,0,2,30.5,C2,R2,R2,R2,R2,R2,R2,"Purpose, exclusions, envelope, measurable inputs, critical-interface route, candidate process envelope and test method are specified; exact customer variant and complete process evidence remain open.",K1,E,B,LOW_UNKNOWN,CONCEPT_ONLY,G0 PASS; G1 PASS; G2 WARN; G3 FAIL; G4 PASS; G5 PASS; G6 PASS,C2 · R2 · K1 · Lane E · LOW_UNKNOWN,STRUCTURED RESEARCH PREFLIGHT R2 — NOT PRODUCT RELEASE APPROVAL,2026-08-31,1.0
SKU-209,Bedside glasses-and-earplug valet,Small-space dry organization,New,"Give glasses, their case and packaged earplugs fixed places on a compact bedside surface.","Give glasses, their case and packaged earplugs fixed places on a compact bedside surface.","Adults in compact homes, rentals and home offices","IKEA's Germany-inclusive 2026 survey reports catch-all storage in 68% of homes, kitchen counters as the leading clutter point, and strong sentimental retention.",Core — exact-fit or defined-set organization for small living and office spaces,"A small personalized one-part layout can be generated without stocking many label, count or proportion variants.",Available envelope; item list and count; largest item dimensions; access direction; optional label text,length; width; height; compartment count; divider positions; access cutouts; labels; corner radius,170,120,45,PLA or PETG,None,Easy,Digital first; printed after fulfillment qualification,5-10,16-34,1,"Dry indoor organization for light personal items only; no secure-storage, structural, electrical, protective or child-use claim.",90,Research batch 3,S31; S32,P0 research backlog,"Run the measurement workflow on one real envelope, then print the smallest fit corner or divider coupon before a full prototype.","metriMade candidate only; trend, price and demand remain hypotheses until German marketplace and customer validation.",30,24,25,9,88,Primary-source strength + signal magnitude + metriMade strategy fit + nonduplicate portfolio whitespace; components are directional planning judgments.,DIRECTIONAL PLANNING SCORE — NOT VALIDATED DEMAND,SIMPLE,Measured dry host envelope and the defined light-item set,E2 route: customer measurement guide plus scaled overhead photo and one independent control dimension; exact variant remains unknown.,"Candidate baseline: common 220 x 220 x 250 mm FFF envelope, PLA or PETG, support-free orientation; exact printer, filament product/color/batch, nozzle and process JSON remain UNKNOWN.","Dimension check, insertion/removal test, finger-access review, rocking/tip check and surface-mark inspection with inert representative items.",1,1,1,1,0,0,1,0,1,0,1,15.75,C1,R2,R2,R2,R2,R2,R2,"Purpose, exclusions, envelope, measurable inputs, critical-interface route, candidate process envelope and test method are specified; exact customer variant and complete process evidence remain open.",K1,E,B,LOW_UNKNOWN,CONCEPT_ONLY,G0 PASS; G1 PASS; G2 WARN; G3 FAIL; G4 PASS; G5 PASS; G6 PASS,C1 · R2 · K1 · Lane E · LOW_UNKNOWN,STRUCTURED RESEARCH PREFLIGHT R2 — NOT PRODUCT RELEASE APPROVAL,2026-08-31,1.0
SKU-210,Paper-size drawer stair organizer,Small-space dry organization,New,"Separate A4-folded, A5, A6 and note-card stock by visible stepped height in one drawer.","Separate A4-folded, A5, A6 and note-card stock by visible stepped height in one drawer.","Adults in compact homes, rentals and home offices","IKEA's Germany-inclusive 2026 survey reports catch-all storage in 68% of homes, kitchen counters as the leading clutter point, and strong sentimental retention.",Core — exact-fit or defined-set organization for small living and office spaces,Measured envelope and item dimensions become a one-off exact-fit insert that mass products cannot economically match.,Available envelope; item list and count; largest item dimensions; access direction; optional label text,length; width; height; compartment count; divider positions; access cutouts; labels; corner radius,220,210,80,PLA or PETG,None,Moderate,Digital first; printed after fulfillment qualification,8-16,24-52,1,"Dry indoor organization for light personal items only; no secure-storage, structural, electrical, protective or child-use claim.",93,Research batch 3,S31; S32,P0 research backlog,"Run the measurement workflow on one real envelope, then print the smallest fit corner or divider coupon before a full prototype.","metriMade candidate only; trend, price and demand remain hypotheses until German marketplace and customer validation.",30,24,25,12,91,Primary-source strength + signal magnitude + metriMade strategy fit + nonduplicate portfolio whitespace; components are directional planning judgments.,DIRECTIONAL PLANNING SCORE — NOT VALIDATED DEMAND,EXACT_FIT,Measured dry host envelope and the defined light-item set,E2 route: customer measurement guide plus scaled overhead photo and one independent control dimension; exact variant remains unknown.,"Candidate baseline: common 220 x 220 x 250 mm FFF envelope, PLA or PETG, support-free orientation; exact printer, filament product/color/batch, nozzle and process JSON remain UNKNOWN.","Dimension check, insertion/removal test, finger-access review, rocking/tip check and surface-mark inspection with inert representative items.",2,2,1,2,1,0,1,1,1,0,2,30.5,C2,R2,R2,R2,R2,R2,R2,"Purpose, exclusions, envelope, measurable inputs, critical-interface route, candidate process envelope and test method are specified; exact customer variant and complete process evidence remain open.",K1,E,B,LOW_UNKNOWN,CONCEPT_ONLY,G0 PASS; G1 PASS; G2 WARN; G3 FAIL; G4 PASS; G5 PASS; G6 PASS,C2 · R2 · K1 · Lane E · LOW_UNKNOWN,STRUCTURED RESEARCH PREFLIGHT R2 — NOT PRODUCT RELEASE APPROVAL,2026-08-31,1.0
