SKU_ID,Preflight_Short,Complexity_Band,Readiness_Band,Criticality_Band,Current_Lane,Target_Lane_After_Evidence,Confidence,Design_Release,Estimate_Status,Creation_Effort_1_5,Validation_Effort_1_5,Research_Risk_1_5,Basis,Source_Or_Linked_Preflight,Assessed_On,Estimate_Version
SKU-001,C3 · R2 · K1 · Lane E · LOW_UNKNOWN,C3,R2,K1,E,C,LOW_UNKNOWN,HOLD,LINKED CURRENT PRODUCT PREFLIGHT — NOT RELEASE APPROVAL,2,3,1,Mapped to MM-ORG-001; exact current scorecard from the linked product preflight.,products/organization-storage/mm-org-001-drawerfit-modular/preflight/preflight-result.json,2026-09-04,1.3
SKU-002,C2 · R2 · K1 · Lane E · LOW_UNKNOWN,C2,R2,K1,E,B,LOW_UNKNOWN,HOLD,LINKED CURRENT PRODUCT PREFLIGHT — NOT RELEASE APPROVAL,1,1,1,Mapped to MM-ORG-004; exact current scorecard from the linked product preflight.,products/organization-storage/mm-org-004-modular-desktop-tray-system/preflight/preflight-result.json,2026-09-04,1.3
SKU-003,C2 · R2 · K1 · Lane E · LOW_UNKNOWN,C2,R2,K1,E,B,LOW_UNKNOWN,HOLD,LINKED CURRENT PRODUCT PREFLIGHT — NOT RELEASE APPROVAL,1,1,1,Mapped to MM-ORG-005; exact current scorecard from the linked product preflight.,products/organization-storage/mm-org-005-desk-edge-cable-clip-kit/preflight/preflight-result.json,2026-09-04,1.3
SKU-004,C3 · R2 · K1 · Lane E · LOW_UNKNOWN,C3,R2,K1,E,C,LOW_UNKNOWN,HOLD,LINKED CURRENT PRODUCT PREFLIGHT — NOT RELEASE APPROVAL,2,2,1,Mapped to MM-ORG-006; exact current scorecard from the linked product preflight.,products/organization-storage/mm-org-006-charging-cable-docking-bar/preflight/preflight-result.json,2026-09-04,1.3
SKU-005,C3 · R2 · K1 · Lane E · LOW_UNKNOWN,C3,R2,K1,E,C,LOW_UNKNOWN,HOLD,LINKED CURRENT PRODUCT PREFLIGHT — NOT RELEASE APPROVAL,2,2,1,Mapped to MM-ORG-007; exact current scorecard from the linked product preflight.,products/organization-storage/mm-org-007-adjustable-passive-phone-stand/preflight/preflight-result.json,2026-09-04,1.3
SKU-006,C2 · R2 · K1 · Lane E · LOW_UNKNOWN,C2,R2,K1,E,B,LOW_UNKNOWN,HOLD,LINKED CURRENT PRODUCT PREFLIGHT — NOT RELEASE APPROVAL,1,1,1,Mapped to MM-ORG-008; exact current scorecard from the linked product preflight.,products/organization-storage/mm-org-008-custom-lipstick-tube-grid/preflight/preflight-result.json,2026-09-04,1.3
SKU-007,C3 · R2 · K1 · Lane E · LOW_UNKNOWN,C3,R2,K1,E,C,LOW_UNKNOWN,HOLD,LINKED CURRENT PRODUCT PREFLIGHT — NOT RELEASE APPROVAL,1,1,1,Mapped to MM-ORG-025; exact current scorecard from the linked product preflight.,products/organization-storage/mm-org-025-adjustable-vertical-makeup-palette-organizer/preflight/preflight-result.json,2026-09-04,1.3
SKU-008,C2 · R0–R1 · K1 · Lane E · LOW_UNKNOWN,C2,R0–R1,K1,E,B,LOW_UNKNOWN,CONCEPT_ONLY,PRELIMINARY IDEA ESTIMATE — NOT RELEASE APPROVAL,2,2,1,"C band from creation/validation planning effort (2/2); K band from the research-risk proxy (1/5); R0–R1 and Lane E until critical interfaces, the manufacturing profile, acceptance criteria, and verification evidence exist.",business/02-portfolio/research-idea-priority.csv,2026-09-04,1.3
SKU-009,C2 · R0–R1 · K1 · Lane E · LOW_UNKNOWN,C2,R0–R1,K1,E,B,LOW_UNKNOWN,CONCEPT_ONLY,PRELIMINARY IDEA ESTIMATE — NOT RELEASE APPROVAL,2,2,1,"C band from creation/validation planning effort (2/2); K band from the research-risk proxy (1/5); R0–R1 and Lane E until critical interfaces, the manufacturing profile, acceptance criteria, and verification evidence exist.",business/02-portfolio/research-idea-priority.csv,2026-09-04,1.3
SKU-010,C2–C3 · R0–R1 · K1 · Lane E · LOW_UNKNOWN,C2–C3,R0–R1,K1,E,C,LOW_UNKNOWN,CONCEPT_ONLY,PRELIMINARY IDEA ESTIMATE — NOT RELEASE APPROVAL,2,3,1,"C band from creation/validation planning effort (2/3); K band from the research-risk proxy (1/5); R0–R1 and Lane E until critical interfaces, the manufacturing profile, acceptance criteria, and verification evidence exist.",business/02-portfolio/research-idea-priority.csv,2026-09-04,1.3
