"ID","Phase","Workstream","Owner_Role","Task","Depends_On","Effort","Priority","Status","Acceptance_Evidence"
"BIZ-001","Foundation","Strategy","Stefan Junk / Founder","Consolidate market research into focused small-space business scope","","1 d","P0","Complete","business/ strategy and market documents reviewed"
"BIZ-002","Foundation","Portfolio","Stefan Junk / Product owner","Inventory non-external model families and classify readiness","","2 d","P0","Complete","product-portfolio.csv/xlsx and explicit external exclusions"
"BIZ-003","Foundation","Webshop","Stefan Junk / Engineering lead","Review supplied website main snapshot for practical MVP gaps","","1 d","P0","Complete","website-gap-review.md references commit 1c75c8b"
"GOV-001","Now","Governance","Stefan Junk / legal reviewer","Retain current register/representation evidence; verify the provisionally recorded W-IdNr.; sign and reconcile the populated operator profile","","1-3 d plus adviser/verification lead time","P0","In progress","signed operator profile with no required null fields and website/payment mapping reconciled"
"BRD-001","Now","Brand/IP","Stefan Junk + IP reviewer as needed","Retain Cloudflare domain proof; clear JuSt Innovation, metriMade, metriCreate and selected logos; approve metriMade V10-08 / MM-BRAND-001-R1 plus the remaining two-storefront visual system, goods/services, rights owner and descriptive product-title policy","GOV-001","3-10 d plus office/counsel lead time","P0","In progress","search record, domain evidence, goods/services scope, exact selected-logo source/rights hashes, selected metriCreate logo, signed risk decision and approved two-storefront naming/architecture"
"PORT-001","Foundation","Portfolio","Stefan Junk / Product owner","Record the MVP release threshold: at least one P5 SKU is mandatory; MM-ORG-001, MM-PER-001 and MM-ORG-002 remain the preferred but optional three-product target","BIZ-002","0.5 d","P0","Complete","founder decision recorded 2026-08-28 in decisions-and-open-questions.md and mvp-scope.md"
"REL-001","Now","Release system","Stefan Junk / Product owner","Create reusable SKU/revision manifest, source register, component register and decision templates; integrate the required metriMade.com + product-ID/version geometry-mark record when physical metriMade scope is enabled","PORT-001","2 d","P0","Not started","one template set passes dry run on DrawerFit and verifies manifest/watermark/manufacturing-file identity or records watermark as scoped N/A for metriCreate-only digital release"
"DRAW-001","Now","Product","Stefan Junk / CAD owner","Reactivate MM-ORG-001 revision 0.1.0-requirements for the researched METOD/MAXIMERA 60 variant: common-220 nine-module tool organizer, full-depth tool lane, removable comb, 18 small-parts compartments and seam-relative planar connectors","PORT-001","1 d","P0","Complete","reactivated design-spec.yaml and Gate-0B concept v1 explicitly approved 2026-08-26"
"DRAW-002","Now","Product","Stefan Junk / CAD owner","Regenerate the unresolved DrawerFit connector parametrically and rebuild a safe-core DRAFT 3MF","DRAW-001","2-4 d","P0","Complete","0.1.0-draft.1: nine watertight bed-fit modules, comb, 0.30/0.45/0.60 coupons and valid ten-object 3MF; fresh 2026-08-28 validation reconfirms 37 PASS and three required reviews"
"DRAW-003","Now","Testing","Stefan Junk / Test owner","Measure the exact drawer; slice with the launch profile; print and record connector, comb, drawer-corner and any required watermark coupons","DRAW-002","1-2 d plus print time","P0","Not started","exact slicer report plus measured process-matched coupon report PASS"
"DRAW-004","Next","Testing","Stefan Junk / Test owner","Print representative seam and prototype, correct failures, then produce three unchanged final DrawerFit sets","DRAW-003","3-6 d plus print time","P0","Not started","three reproducible sets pass dimensions, drawer fit, connector/comb fit, 5 kg distributed load, 100 drawer cycles, stability and appearance criteria"
"DRAW-005","Next","Commercial release","Stefan Junk / Product and commercial owner","Complete DrawerFit source/tool/component/authorship registers, rights/safety/copy/media/license/economics, freeze hashes and sign the P5 release","DRAW-004,REL-001,LEG-001","2-4 d","P0","Not started","signed release manifest, frozen evidence hash and customer package; see mm-org-001-p5-gap.md"
"BOOK-001","Now","Product","Stefan Junk / Product and CAD owner","Approve NameForm bookend envelope, book range, anti-tip limit, personalization/font rules and test criteria","PORT-001","1-2 d","P0","Complete","v0.3.0 requirements and generated concept explicitly approved 2026-08-26"
"BOOK-002","Next","Product","Stefan Junk / CAD owner","Build deterministic parametric NameForm CAD, validation and safe-core 3MF","BOOK-001","3-5 d","P0","Complete","CadQuery source, marked STEP/STL, valid DRAFT 3MF, 38/38 text sweep and digital checks PASS; exact slicer/profile work continues under BOOK-003"
"BOOK-003","Next","Testing","Stefan Junk / Test owner","Print coupons/prototype then three final bookend pairs and run stability/load/use tests","BOOK-002","3-5 d plus print time","P0","Not started","final-revision physical test report PASS"
