category,component_id,candidate,quantity,status,official_reference,geometry_authority,evidence_needed,blocks
structure,CHASSIS_SET,Parametric printed ribbed chassis set,1 set,planned,design-spec.yaml,parametric CAD,"decomposition approval; load path; process freeze; slicer evidence",proxy/component
motor bracket,MOTOR_BRACKET_SET,Pololu item 1995 machined aluminium bracket,2,provisional,https://www.pololu.com/product/1995/1461,supplier drawing plus measured samples,"two samples; hole pattern; included screws; mass",component/integration
drive,DRIVE_SET,Pololu item 4755 100:1 37D 12 V encoder gearmotor,2,provisional,https://www.pololu.com/product/4755/resources,supplier STEP/drawing plus measured samples,"torque-current-temperature test; encoder polarity/counts; runout; mass",component/integration/physical
wheel and hub,HUB_WHEEL_SET,120 x 40 mm wheel plus metal 6 mm D-shaft hub,2 wheels plus 2 hubs,open,,exact selected purchased parts,"supplier drawings; samples; retention; runout; mass; inertia; grip",component/integration/manufacturing/physical
battery cradle,BATTERY_CRADLE,Sliding centered printed cradle with two straps,1,planned,design-spec.yaml,parametric CAD around measured pack,"exact pack; trim coupon; restraint and landing test",component/integration
battery and power,BATTERY_COTS,3S LiPo-class pack plus BEC fuse current sensing and disconnect,1 set,open,,exact selected purchased parts and reviewed schematic,"power budget; samples; regeneration/disconnect transient; undervoltage; current sensing",component/integration/physical
controller,CONTROL_STACK_COTS,PJRC Teensy 4.1,1,provisional,https://www.pjrc.com/store/teensy41.html,supplier dimensions plus measured board,"firmware timing; watchdog; I/O proof; board measurement",component/integration
IMU,CONTROL_STACK_COTS,ICM-42688-P-class SPI carrier board,1,open,https://www.invensense.tdk.com/en-us/products/consumer/icm-42688-p/,exact carrier and measured board,"carrier selection; axes; noise; timing; voltage; mounting",component/integration/physical
motor driver,CONTROL_STACK_COTS,Cytron MDD10A candidate,1,provisional,https://my.cytron.io/p-10amp-5v-30v-dc-motor-driver-2-channels,supplier dimensions plus measured board,"external current/fault sensing or replacement; thermal and regenerative test",component/integration/physical
camera,CAMERA_COTS,RunCam Phoenix 2 Special Edition V2 family,1,provisional,https://shop.runcam.com/runcam-phoenix-2-special-edition/,measured exact revision,"body/lens/screw measurements; connector; FOV",component/integration
VTX,VTX_COTS,SpeedyBee TX800,1,provisional,https://www.speedybee.com/speedybee-tx800/,supplier dimensions plus measured board,"exact revision; cooling; connector; power and local configuration",component/integration
receiver,RX_COTS,RadioMaster ER5C ELRS PWM receiver candidate,1,provisional,https://www.radiomasterrc.com/products/er5c-elrs-pwm-receiver,measured exact revision,"protocol decision; failsafe timing; antenna; board measurement",component/integration
landing,LANDING_SET,Parametric non-rolling front and rear replaceable skids,2,planned,design-spec.yaml,parametric CAD,"exact 22 degree pitch sweep; proof load; restrained tip test",proxy/integration/physical
antennas,ANTENNA_SET,Separate matched ELRS and 5.8 GHz antennas with printed mounts,2 systems,open,,exact selected purchased RF parts,"connector match; bend radius; active zone; strain and range tests",component/integration
hardware,HARDWARE_KIT,M3/M4 metal through-fasteners captured nuts straps and connectors,1 set,provisional,,measured standard hardware,"grade; length; thread engagement; process coupons; service cycle",component/manufacturing
