Implementation_Order,New_Build_Rank,Next_Candidate_Rank,SKU_ID,Product,Product_Family,Implementation_Status,Mapped_Working_SKU,Decision_Tier,Priority_Score_0_100,Creation_Effort_1_5,Validation_Effort_1_5,Commercial_Risk_1_5,Trend_Score_0_100,Estimated_Market_Fit_1_5,Market_Evidence_Confidence_1_5,Strategy_Fit_1_5,AM_Differentiation_1_5,Portfolio_Leverage_1_5,Digital_First_Fit_1_5,Economics_1_5,Source_IDs,Scoring_Rationale,Next_Action,Scored_On,Scoring_Version,Score_Status
1,,,SKU-001,Exact-fit drawer grid organizer,Custom desk & drawer organizers,MODEL_EXISTS,MM-ORG-001,0 FINISH CURRENT VALIDATION,91.0,2,3,1,96.0,5,3,5,5,5,4,5,S05; S06; S11; S19,"Estimated market fit 5/5 with evidence confidence 3/5; strategy fit 5/5; additive differentiation 5/5; portfolio leverage 5/5; creation effort 2/5, validation effort 3/5 and commercial risk 1/5.","Do not start another model first; close slicer, physical, rights and commercial evidence. Existing next gate: Build parametric layout generator and 3 drawer pilot set",2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
2,,,SKU-002,Modular desktop tray system,Custom desk & drawer organizers,MODEL_EXISTS,MM-ORG-004,0 FINISH CURRENT VALIDATION,97.0,1,1,1,95.0,5,3,5,5,5,4,5,S05; S06; S11; S19,"Estimated market fit 5/5 with evidence confidence 3/5; strategy fit 5/5; additive differentiation 5/5; portfolio leverage 5/5; creation effort 1/5, validation effort 1/5 and commercial risk 1/5.","Do not start another model first; close slicer, physical, rights and commercial evidence. Existing next gate: Prototype three visual styles and module interface",2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
3,,,SKU-003,Desk-edge cable clip kit,Cable-management systems,MODEL_EXISTS,MM-ORG-005,0 FINISH CURRENT VALIDATION,97.0,1,1,1,95.0,5,2,5,5,5,5,5,S05; S09; S11; S19,"Estimated market fit 5/5 with evidence confidence 2/5; strategy fit 5/5; additive differentiation 5/5; portfolio leverage 5/5; creation effort 1/5, validation effort 1/5 and commercial risk 1/5.","Do not start another model first; close slicer, physical, rights and commercial evidence. Existing next gate: Create diameter/thickness wizard and test matrix",2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
4,,,SKU-005,Adjustable passive phone stand,Phone/tablet stands & passive docks,MODEL_EXISTS,MM-ORG-007,0 FINISH CURRENT VALIDATION,90.0,2,2,1,93.0,5,2,4,5,5,5,5,S03; S05; S09; S11; S19,"Estimated market fit 5/5 with evidence confidence 2/5; strategy fit 4/5; additive differentiation 5/5; portfolio leverage 5/5; creation effort 2/5, validation effort 2/5 and commercial risk 1/5.","Do not start another model first; close slicer, physical, rights and commercial evidence. Existing next gate: Prototype three hinge detent profiles",2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
5,,,SKU-004,Charging-cable docking bar,Cable-management systems,MODEL_EXISTS,MM-ORG-006,0 FINISH CURRENT VALIDATION,92.0,2,2,1,94.0,5,2,5,5,5,4,5,S05; S09; S11; S19,"Estimated market fit 5/5 with evidence confidence 2/5; strategy fit 5/5; additive differentiation 5/5; portfolio leverage 5/5; creation effort 2/5, validation effort 2/5 and commercial risk 1/5.","Do not start another model first; close slicer, physical, rights and commercial evidence. Existing next gate: Develop interchangeable TPU insert family",2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
6,,,SKU-006,Custom lipstick and tube grid,Makeup & vanity organizers,MODEL_EXISTS,MM-ORG-008,0 FINISH CURRENT VALIDATION,95.0,1,1,1,92.0,5,3,4,5,5,5,5,S07; S11; S19,"Estimated market fit 5/5 with evidence confidence 3/5; strategy fit 4/5; additive differentiation 5/5; portfolio leverage 5/5; creation effort 1/5, validation effort 1/5 and commercial risk 1/5.","Do not start another model first; close slicer, physical, rights and commercial evidence. Existing next gate: Create diameter capture guide and sample fit ring",2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
7,,,SKU-007,Vertical makeup-palette organizer,Makeup & vanity organizers,MODEL_EXISTS,MM-ORG-025,0 FINISH CURRENT VALIDATION,91.0,1,1,1,91.0,4,3,4,5,5,5,5,S07; S11; S19,"Estimated market fit 4/5 with evidence confidence 3/5; strategy fit 4/5; additive differentiation 5/5; portfolio leverage 5/5; creation effort 1/5, validation effort 1/5 and commercial risk 1/5.","Print the declared first-fit coupon or gauge, then the unchanged candidate; record physical fit, use, cycle, safety, rights and commercial-release evidence.",2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
8,,,SKU-014,Personalized desk nameplate,"Personalized signs, house numbers & event decor",MODEL_EXISTS,MM-ORG-026,0 FINISH CURRENT VALIDATION,91.0,1,1,1,84.0,4,3,4,5,5,5,5,S01; S04; S11; S16; S24,"Estimated market fit 4/5 with evidence confidence 3/5; strategy fit 4/5; additive differentiation 5/5; portfolio leverage 5/5; creation effort 1/5, validation effort 1/5 and commercial risk 1/5.","Print the declared first-fit coupon or gauge, then the unchanged candidate; record physical fit, use, cycle, safety, rights and commercial-release evidence.",2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
9,,,SKU-018,Personalized pen and stationery caddy,Custom desk & drawer organizers,MODEL_EXISTS,MM-ORG-010,0 FINISH CURRENT VALIDATION,96.0,1,1,1,94.0,5,3,5,4,5,5,5,S05; S06; S11; S19,"Estimated market fit 5/5 with evidence confidence 3/5; strategy fit 5/5; additive differentiation 4/5; portfolio leverage 5/5; creation effort 1/5, validation effort 1/5 and commercial risk 1/5.","Print the declared first-fit coupon or gauge, then the unchanged candidate; record physical fit, use, cycle, safety, rights and commercial-release evidence.",2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
10,,,SKU-023,Labelable small-parts bin set,Custom desk & drawer organizers,MODEL_EXISTS,MM-ORG-022,0 FINISH CURRENT VALIDATION,91.8,2,2,2,95.0,5,3,5,5,5,5,5,S05; S06; S11; S19,"Estimated market fit 5/5 with evidence confidence 3/5; strategy fit 5/5; additive differentiation 5/5; portfolio leverage 5/5; creation effort 2/5, validation effort 2/5 and commercial risk 2/5.","Print the declared first-fit coupon or gauge, then the unchanged candidate; record physical fit, use, cycle, safety, rights and commercial-release evidence.",2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
