Record_ID,Working_SKU,Product_or_Model,Lifecycle_Stage,Portfolio_Source_Path,Source_Path_Exists,Model_Status,Parametric_Source_Present,Manufacturing_or_Neutral_Model_Present,3MF_Present,Representative_Model_Evidence,Model_File_Count,Source_File_Count,Portfolio_Contradiction,Audit_Date
PORT-064,MM-BTH-003,Linear Shower Drain Hair Trap,P2 Digital candidate,products/home-kitchen-garden/mm-bth-003-linear-shower-drain-hair-trap,YES,YES — controlled CAD/source + model artifact,YES,YES,YES,products/home-kitchen-garden/mm-bth-003-linear-shower-drain-hair-trap/abflusssieb/print_plate_kobra3max.3mf,98,9,,2026-08-28
PORT-001,MM-ORG-001,DrawerFit Modular,P2 Digital candidate,products/organization-storage/mm-org-001-drawerfit-modular,YES,YES — controlled CAD/source + model artifact,YES,YES,YES,products/organization-storage/mm-org-001-drawerfit-modular/DRAFT-schubladen-organizer-R1.3-aspect-safe-030mm/schubladen-organizer/output/DRAFT/DRAFT-R1.3-aspect-safe-030mm-assembly.3mf,44,50,,2026-08-28
PORT-002,MM-PER-001,NameForm Bookends,P2 Digital candidate,products/organization-storage/mm-per-001-nameform-bookends,YES,YES — controlled CAD/source + model artifact,YES,YES,YES,products/organization-storage/mm-per-001-nameform-bookends/exports/final/nameform-bookends-M-single.3mf,19,6,,2026-08-28
PORT-003,MM-ORG-002,ShelfFit Mini Bins,P2 Digital candidate,products/organization-storage/mm-org-002-shelffit-mini-bins,YES,YES — controlled CAD/source + model artifact,YES,YES,YES,products/organization-storage/mm-org-002-shelffit-mini-bins/exports/candidate/manufacturing/DRAFT-shelffit-mini-bin-0.1.0-print-two.3mf,7,3,,2026-08-28
PORT-004,MM-ORG-003,Modern Carbon Desk Organizer,P2 Digital candidate,products/organization-storage/mm-org-003-modern-carbon-desk-organizer,YES,YES — controlled CAD/source + model artifact,YES,YES,YES,products/organization-storage/mm-org-003-modern-carbon-desk-organizer/modern-carbon-desk-organizer-compact-v2.0.0/exports/3mf/DRAFT-MM-ORG-003-modern-carbon-compact-2.0.0-draft.1.3mf,22,10,,2026-08-28
PORT-005,MM-BTH-001,Premium Over-Toilet Shelf,P2 Digital candidate,products/organization-storage/mm-bth-001-premium-over-toilet-shelf,YES,YES — controlled CAD/source + model artifact,YES,YES,NO,products/organization-storage/mm-bth-001-premium-over-toilet-shelf/output/default/preview/premium_over_toilet_shelf_assembly.stl,179,8,,2026-08-28
PORT-006,MM-BTH-002,Toilet Paper FIFO System,P2 Digital candidate,products/organization-storage/mm-bth-002-toilet-paper-fifo-system,YES,YES — controlled CAD/source + model artifact,YES,YES,YES,products/organization-storage/mm-bth-002-toilet-paper-fifo-system/2/ZEN_KINTSUGI_WAVE_FIFO_5R_HYBRID_v2.0.0(2)/ZEN_KINTSUGI_WAVE_FIFO_5R_HYBRID_v2.0.0/SIDE_PANEL_A_multicolor.3mf,68,9,,2026-08-28
PORT-007,MM-MKR-001,CyberVault Nozzle Case,P2 Digital candidate,products/printer-workshop/mm-mkr-001-cybervault-nozzle-case,YES,YES — controlled CAD/source + model artifact,YES,YES,YES,products/printer-workshop/mm-mkr-001-cybervault-nozzle-case/CyberVault-R4-WM1-RELEASE/exports/release/cyber_nozzle_case_R4.3mf,6,5,,2026-08-28
PORT-008,MM-TOOL-001,Kobra 3 Max Hybrid Enclosure,P2 Digital candidate,products/printer-workshop/mm-tool-001-kobra3max-enclosure,YES,YES — controlled CAD/source + model artifact,YES,YES,NO,products/printer-workshop/mm-tool-001-kobra3max-enclosure/kobra3max_enclosure_project/exports/DRAFT/STL/DRAFT_cable_grommet_half_A.stl,39,12,,2026-08-28
PORT-009,MM-TOOL-002,Filament Drybox Feed and Clip System,P1 Model present,products/printer-workshop/mm-tool-002-filament-drybox-system,YES,YES — controlled CAD/source + model artifact,YES,YES,YES,products/printer-workshop/mm-tool-002-filament-drybox-system/01_bodenhalter_23_5mm_rohr_2x_drucken.3mf,49,13,,2026-08-28
