Product_Path,Working_SKU,Product,Product_Family_or_Category,Score_Basis,Trend_Score_0_100,Priority_Score_0_100,Opportunity_Score_0_100,Risk_Score_1_5,Estimated_Market_Fit_1_5,Market_Evidence_Confidence_1_5,Creation_Effort_1_5,Validation_Effort_1_5,Commercial_Risk_1_5,Strategy_Fit_1_5,AM_Differentiation_1_5,Portfolio_Leverage_1_5,Digital_First_Fit_1_5,Economics_1_5,Trend_Basis,Scoring_Rationale,Score_Status,Scored_On,Scoring_Version
products/art-decor/mm-art-001-fox-mesh-collection,MM-ART-001,Fox Mesh Collection,Decorative mesh,DERIVED — PRODUCT PREFLIGHT AND REGISTER EVIDENCE v1.0,20,41.2,22,4,1,1,1,2,4,1,2,2,3,4,NO PRIMARY-SOURCE RESEARCH FAMILY for category 'Decorative mesh'; baseline 35 below every scored research family; strategy-fit adjustment -18,"Derived from the live preflight C0/R1/K0 (EXT=3, MOT=0, PHY=0), register strategy fit 'Off-strategy', rights UNKNOWN, safety unknown, model status 'YES — model artifact present', and 14 sibling products in its product family. Economics is a complexity and purchased-content proxy only; no product COGS or price is recorded yet.",DIRECTIONAL PLANNING SCORE — NOT VALIDATED DEMAND OR RELEASE APPROVAL,2026-09-04,1.0
products/art-decor/mm-art-002-plant-mesh,MM-ART-002,Plant Mesh,Decorative mesh,DERIVED — PRODUCT PREFLIGHT AND REGISTER EVIDENCE v1.0,20,41.2,22,4,1,1,1,2,4,1,2,2,3,4,NO PRIMARY-SOURCE RESEARCH FAMILY for category 'Decorative mesh'; baseline 35 below every scored research family; strategy-fit adjustment -18,"Derived from the live preflight C0/R1/K0 (EXT=3, MOT=0, PHY=0), register strategy fit 'Off-strategy', rights UNKNOWN, safety unknown, model status 'YES — model artifact present', and 14 sibling products in its product family. Economics is a complexity and purchased-content proxy only; no product COGS or price is recorded yet.",DIRECTIONAL PLANNING SCORE — NOT VALIDATED DEMAND OR RELEASE APPROVAL,2026-09-04,1.0
products/art-decor/mm-art-003-unicorn-mesh-collection,MM-ART-003,Unicorn Mesh Collection,Decorative mesh,DERIVED — PRODUCT PREFLIGHT AND REGISTER EVIDENCE v1.0,20,41.2,22,4,1,1,1,2,4,1,2,2,3,4,NO PRIMARY-SOURCE RESEARCH FAMILY for category 'Decorative mesh'; baseline 35 below every scored research family; strategy-fit adjustment -18,"Derived from the live preflight C0/R1/K0 (EXT=3, MOT=0, PHY=0), register strategy fit 'Off-strategy', rights UNKNOWN, safety unknown, model status 'YES — model artifact present', and 14 sibling products in its product family. Economics is a complexity and purchased-content proxy only; no product COGS or price is recorded yet.",DIRECTIONAL PLANNING SCORE — NOT VALIDATED DEMAND OR RELEASE APPROVAL,2026-09-04,1.0
products/art-decor/mm-art-004-capybara-mesh-collection,MM-ART-004,Capybara Mesh Collection,Decorative mesh,DERIVED — PRODUCT PREFLIGHT AND REGISTER EVIDENCE v1.0,20,41.2,22,4,1,1,1,2,4,1,2,2,3,4,NO PRIMARY-SOURCE RESEARCH FAMILY for category 'Decorative mesh'; baseline 35 below every scored research family; strategy-fit adjustment -18,"Derived from the live preflight C0/R1/K0 (EXT=3, MOT=0, PHY=0), register strategy fit 'Off-strategy', rights UNKNOWN, safety unknown, model status 'YES — model artifact present', and 14 sibling products in its product family. Economics is a complexity and purchased-content proxy only; no product COGS or price is recorded yet.",DIRECTIONAL PLANNING SCORE — NOT VALIDATED DEMAND OR RELEASE APPROVAL,2026-09-04,1.0
products/art-decor/mm-art-005-fish-mesh-collection,MM-ART-005,Fish Mesh Collection,Decorative mesh,DERIVED — PRODUCT PREFLIGHT AND REGISTER EVIDENCE v1.0,20,41.2,22,4,1,1,1,2,4,1,2,2,3,4,NO PRIMARY-SOURCE RESEARCH FAMILY for category 'Decorative mesh'; baseline 35 below every scored research family; strategy-fit adjustment -18,"Derived from the live preflight C0/R1/K0 (EXT=3, MOT=0, PHY=0), register strategy fit 'Off-strategy', rights UNKNOWN, safety unknown, model status 'YES — model artifact present', and 14 sibling products in its product family. Economics is a complexity and purchased-content proxy only; no product COGS or price is recorded yet.",DIRECTIONAL PLANNING SCORE — NOT VALIDATED DEMAND OR RELEASE APPROVAL,2026-09-04,1.0
products/art-decor/mm-art-006-mouse-mesh-collection,MM-ART-006,Mouse Mesh Collection,Decorative mesh,DERIVED — PRODUCT PREFLIGHT AND REGISTER EVIDENCE v1.0,20,41.2,22,4,1,1,1,2,4,1,2,2,3,4,NO PRIMARY-SOURCE RESEARCH FAMILY for category 'Decorative mesh'; baseline 35 below every scored research family; strategy-fit adjustment -18,"Derived from the live preflight C0/R1/K0 (EXT=3, MOT=0, PHY=0), register strategy fit 'Off-strategy', rights UNKNOWN, safety unknown, model status 'YES — model artifact present', and 14 sibling products in its product family. Economics is a complexity and purchased-content proxy only; no product COGS or price is recorded yet.",DIRECTIONAL PLANNING SCORE — NOT VALIDATED DEMAND OR RELEASE APPROVAL,2026-09-04,1.0
products/art-decor/mm-art-007-racehorse-mesh-collection,MM-ART-007,Racehorse Mesh Collection,Decorative mesh,DERIVED — PRODUCT PREFLIGHT AND REGISTER EVIDENCE v1.0,20,43.2,22,4,1,1,1,1,4,1,2,2,3,4,NO PRIMARY-SOURCE RESEARCH FAMILY for category 'Decorative mesh'; baseline 35 below every scored research family; strategy-fit adjustment -18,"Derived from the live preflight C0/R2/K0 (EXT=3, MOT=0, PHY=0), register strategy fit 'Off-strategy', rights UNKNOWN, safety unknown, model status 'YES — model artifact present', and 14 sibling products in its product family. Economics is a complexity and purchased-content proxy only; no product COGS or price is recorded yet.",DIRECTIONAL PLANNING SCORE — NOT VALIDATED DEMAND OR RELEASE APPROVAL,2026-09-04,1.0
products/art-decor/mm-art-008-sports-car-mesh,MM-ART-008,Sports Car Mesh,Decorative/vehicle mesh,DERIVED — PRODUCT PREFLIGHT AND REGISTER EVIDENCE v1.0,20,41.2,22,4,1,1,1,2,4,1,2,2,3,4,NO PRIMARY-SOURCE RESEARCH FAMILY for category 'Decorative/vehicle mesh'; baseline 35 below every scored research family; strategy-fit adjustment -18,"Derived from the live preflight C0/R1/K0 (EXT=3, MOT=0, PHY=0), register strategy fit 'Off-strategy', rights UNKNOWN, safety high, model status 'YES — model artifact present', and 14 sibling products in its product family. Economics is a complexity and purchased-content proxy only; no product COGS or price is recorded yet.",DIRECTIONAL PLANNING SCORE — NOT VALIDATED DEMAND OR RELEASE APPROVAL,2026-09-04,1.0
products/art-decor/mm-art-009-whale-mesh-collection,MM-ART-009,Whale Mesh Collection,Decorative mesh,DERIVED — PRODUCT PREFLIGHT AND REGISTER EVIDENCE v1.0,20,41.2,22,4,1,1,1,2,4,1,2,2,3,4,NO PRIMARY-SOURCE RESEARCH FAMILY for category 'Decorative mesh'; baseline 35 below every scored research family; strategy-fit adjustment -18,"Derived from the live preflight C0/R1/K0 (EXT=3, MOT=0, PHY=0), register strategy fit 'Off-strategy', rights UNKNOWN, safety unknown, model status 'YES — model artifact present', and 14 sibling products in its product family. Economics is a complexity and purchased-content proxy only; no product COGS or price is recorded yet.",DIRECTIONAL PLANNING SCORE — NOT VALIDATED DEMAND OR RELEASE APPROVAL,2026-09-04,1.0
products/art-decor/mm-art-010-modular-city-map-wall-panel,MM-ART-010,Berlin permanent one-off city-map wall relief with two display modes,Decorative wall relief,DERIVED — PRODUCT PREFLIGHT AND REGISTER EVIDENCE v1.0,67,48.2,69,4,3,2,2,3,4,1,2,3,3,3,"Research family '3D wall art, reliefs & gallery panels' median 85; mapped from category 'Decorative wall relief'; strategy-fit adjustment -18","Derived from the live preflight C3/R2/K2 (EXT=2, MOT=1, PHY=1), register strategy fit 'Off-strategy', local source, commercial register open, safety medium, model status 'YES — controlled source + coupon/model artifacts', and 14 sibling products in its product family. Economics is a complexity and purchased-content proxy only; no product COGS or price is recorded yet.",DIRECTIONAL PLANNING SCORE — NOT VALIDATED DEMAND OR RELEASE APPROVAL,2026-09-04,1.0
