"Record_ID","Working_SKU","Product_or_Model","Category","Source_Path","Origin_Class","Strategy_Fit","Lifecycle_Stage","Commercial_Existing","Digital_Evidence","Physical_Evidence","Rights_Provenance","Safety_Risk","Digital_Offer","Printed_Offer","Website_Status","Initial_Portfolio_Role","Priority","Next_Gate","Notes","Model_Status","Model_Evidence_Path","Model_Audit_Date"
"PORT-064","MM-BTH-003","Linear Shower Drain Hair Trap","Shower-drain accessory","products/home-kitchen-garden/mm-bth-003-linear-shower-drain-hair-trap","Local controlled project","Core adjacent","P2 Digital candidate","No","3.0.0-draft.1 parametric CadQuery source; one valid 52.5 x 65 x 21 mm segment STEP/STL, 18-part 945 mm assembly reference and print-oriented manufacturing mesh; geometry, topology, count, envelope and rigid-transform checks PASS","Earlier 80 mm functional coupon reportedly printed after a 90-degree rotation; exact printer/material/nozzle/profile and measured result are unknown; full installed-fit, drainage, cleaning, hair-retention and watermark tests are NOT RUN","Local original parametric source and canonical MM-WM-001-R1 provenance recorded; broader commercial source/component register remains open","Medium; drainage restriction or clogging, sharp print defects, cumulative fit and warm-water/cleaner exposure require physical qualification","Hold","Hold until physical qualification","No catalog item","Bathroom accessory reserve","P2 NEXT","Approve the revision 3.1 concept sheet; then generate and integrate the exact MM-BTH-003 mark, slice in Anycubic Slicer Next and physically test the unchanged 945 mm / 18-funnel assembly","DRAFT only; official identity assigned as MM-BTH-003 and revision 3.1 requirements approved. The current 18-identical-segment candidate remains digitally validated; revised CAD is blocked pending concept approval","YES — controlled CAD/source + model artifact","products/home-kitchen-garden/mm-bth-003-linear-shower-drain-hair-trap/abflusssieb/print_plate_kobra3max.3mf","2026-08-28"
"PORT-001","MM-ORG-001","DrawerFit Modular","Exact-fit organizer","products/organization-storage/mm-org-001-drawerfit-modular","Local controlled project family","Core","P2 Digital candidate","No","Approved 0.1.0/concept v1 has 0.1.0-draft.1 Manifold3D source, nine watertight common-220 modules, comb, 18 bins, twelve connector locations, clearance coupons and valid ten-object 3MF; 37 checks PASS","No exact slicer result or qualified print; 0.45 mm connector value is provisional and real drawer/comb/load evidence is open","UNKNOWN - commercial source/component register incomplete","Low to medium; system fit, connector/comb fit and tool-storage use","Planned first","Later after fulfillment gate","Demo mapping not approved","Initial launch SKU 1","P0 NOW","Measure exact drawer; slice/print connector sweep, comb gauge/comb and fit corner; update clearance before any full set","Do not call exact-fit or IKEA-compatible until the named drawer revision and measurement tolerance are physically proven","YES — controlled CAD/source + model artifact","products/organization-storage/mm-org-001-drawerfit-modular/DRAFT-schubladen-organizer-R1.3-aspect-safe-030mm/schubladen-organizer/output/DRAFT/DRAFT-R1.3-aspect-safe-030mm-assembly.3mf","2026-08-28"
"PORT-002","MM-PER-001","NameForm Bookends","Personalized functional decor","products/organization-storage/mm-per-001-nameform-bookends","Local controlled project","Core","P2 Digital candidate","No","v0.3.0 true left/right CadQuery pair; automatic split, explicit halves and whole-name modes; STEP/STL/valid DRAFT 3MF; 38/38 text sweep, topology, envelope, stiffness comparison and digital watermark checks PASS","No exact slicer evidence; watermark coupon and complete pair TP-01 through TP-06 not printed or tested","Bundled DejaVu Condensed Bold and license recorded; metriMade watermark provenance recorded; customer-supplied name/content policy remains a commercial gate","Low to medium; sliding, tipping and book load require physical qualification","Planned first","Later after fulfillment gate","No catalog item","Initial launch SKU 2","P0 NOW","Run exact slicer/profile; print watermark coupon and unchanged pair; complete load/slide/cycle/appearance tests","DRAFT digital candidate only; estimated PLA CAD mass 320.0 g per pair, 91.3% below historical v0.2.0; no sale/release claim","YES — controlled CAD/source + model artifact","products/organization-storage/mm-per-001-nameform-bookends/exports/final/nameform-bookends-M-single.3mf","2026-08-28"
"PORT-003","MM-ORG-002","ShelfFit Mini Bins","Exact-fit storage","products/organization-storage/mm-org-002-shelffit-mini-bins","Local controlled project","Core","P2 Digital candidate","No","v0.1.0 / 0.1.0-draft.1 CadQuery source; marked STEP/STL and valid one-object DRAFT 3MF; one watertight 210 x 209.5 x 148 mm body; source, mesh, 3MF, reference-layout, optimization and digital watermark checks PASS through interface-validation","No exact slicer/profile; shelf-clearance/watermark coupons and unchanged pair fit, 1.5 kg load, 100-cycle grip and cleaning tests are NOT RUN","Canonical MM-WM-001-R1 and local source recorded; broader commercial source/component register and product-title review remain open","Low to medium; shelf binding, overload, grip/edge and non-stacking misuse require physical qualification","Planned first","Later after fulfillment gate","No catalog item","Initial launch SKU 3","P0 NOW","Run exact slicer/profile; measure shelf; print clearance/watermark coupons and unchanged pair; complete TP-01 through TP-07","DRAFT digital candidate only; non-stacking, open-top reference set for a provisional 420 x 210 x 150 mm shelf; estimated CAD PLA mass 380.2 g per bin; no sale, exact-fit or load claim","YES — controlled CAD/source + model artifact","products/organization-storage/mm-org-002-shelffit-mini-bins/exports/candidate/manufacturing/DRAFT-shelffit-mini-bin-0.1.0-print-two.3mf","2026-08-28"
"PORT-004","MM-ORG-003","Modern Carbon Desk Organizer","Desk organizer","products/organization-storage/mm-org-003-modern-carbon-desk-organizer","Local controlled project","Core adjacent","P2 Digital candidate","No","2.0.0-draft.1 compact CadQuery source, JSON parameters, STEP/STL, fit and texture coupons and valid four-item DRAFT 3MF; all five meshes, assembly envelope, build-volume and nominal interface checks PASS through interface-validation","No exact slicer/profile or physical print; coupon fit, drawer cycles, loaded anti-tip, flatness, stack retention and appearance remain open","UNKNOWN - commercial register incomplete","Medium; tip/edge/use claims","Later","Later","No approved mapping","Post-launch derivative","P1 NEXT","Run exact slicer/profile; print fit and texture coupons; then print unchanged prototype and complete drawer-cycle, loaded anti-tip and appearance checks","Common-printer derivative now 210 x 190 x 173 mm with two drawers and removable six-bin sorter; DRAFT only; CAD-volume PLA equivalent 1046 g is not slicer deposited mass","YES — controlled CAD/source + model artifact","products/organization-storage/mm-org-003-modern-carbon-desk-organizer/modern-carbon-desk-organizer-compact-v2.0.0/exports/3mf/DRAFT-MM-ORG-003-modern-carbon-compact-2.0.0-draft.1.3mf","2026-08-28"
"PORT-005","MM-BTH-001","Premium Over-Toilet Shelf","Integrated bathroom storage","products/organization-storage/mm-bth-001-premium-over-toilet-shelf","Local controlled project","Core adjacent","P2 Digital candidate","No","Digital integration evidence exists; large multi-part assembly","Slicer, fastener/site fit, load, creep and anti-tip tests open","UNKNOWN","High; tall furniture, mounting and tip/load risks","Hold","Hold","No approved mapping","Not initial","P3 LATER","Define installation variants and complete structural physical test program","680 x 300 x 1650 mm; manufacturing blocked","YES — controlled CAD/source + model artifact","products/organization-storage/mm-bth-001-premium-over-toilet-shelf/output/default/preview/premium_over_toilet_shelf_assembly.stl","2026-08-28"
"PORT-006","MM-BTH-002","Toilet Paper FIFO System","Bathroom storage","products/organization-storage/mm-bth-002-toilet-paper-fifo-system","Local controlled project","Core adjacent","P2 Digital candidate","No","Parametric redesign/production-design evidence found","Wall fit, cycles, load and full qualification open","UNKNOWN","High; wall mounting and repeated mechanism use","Hold","Hold","No approved mapping","Not initial","P3 LATER","Freeze hardware/interface; run coupon, cycle and wall-mount tests","Five-roll wall system; legacy GLB is informative only","YES — controlled CAD/source + model artifact","products/organization-storage/mm-bth-002-toilet-paper-fifo-system/2/ZEN_KINTSUGI_WAVE_FIFO_5R_HYBRID_v2.0.0(2)/ZEN_KINTSUGI_WAVE_FIFO_5R_HYBRID_v2.0.0/SIDE_PANEL_A_multicolor.3mf","2026-08-28"
"PORT-007","MM-MKR-001","CyberVault Nozzle Case","Maker storage","products/printer-workshop/mm-mkr-001-cybervault-nozzle-case","Local controlled project","Adjacent","P2 Digital candidate","No","R4 digital release package and preferred 3MF exist","Earlier basic fit/hinge/latch evidence inherited; R4 loaded inversion, relief and cycles open","UNKNOWN - commercial clearance incomplete","Low to medium; small parts and retention","Pilot","Pilot later","No approved mapping","Release-pipeline pilot","P1 NEXT","Run exact R4 physical tests; complete rights/safety/customer package","Do not infer commercial release from RELEASE directory name","YES — controlled CAD/source + model artifact","products/printer-workshop/mm-mkr-001-cybervault-nozzle-case/CyberVault-R4-WM1-RELEASE/exports/release/cyber_nozzle_case_R4.3mf","2026-08-28"
"PORT-008","MM-TOOL-001","Kobra 3 Max Hybrid Enclosure","Printer accessory","products/printer-workshop/mm-tool-001-kobra3max-enclosure","Local controlled project","Off-strategy","P2 Digital candidate","No","Watertight mesh checks and documented build system","No physical build; panel fit, heat, exhaust and full assembly open","UNKNOWN","High; heat, ventilation, fire/electrical adjacency","Hold","Hold","No catalog item","Not initial","P3 LATER","Physical prototype and hazard review with exact purchased BOM","Large hybrid product with wood/acrylic/printed parts","YES — controlled CAD/source + model artifact","products/printer-workshop/mm-tool-001-kobra3max-enclosure/kobra3max_enclosure_project/exports/DRAFT/STL/DRAFT_cable_grommet_half_A.stl","2026-08-28"
"PORT-009","MM-TOOL-002","Filament Drybox Feed and Clip System","Printer accessory","products/printer-workshop/mm-tool-002-filament-drybox-system","Local project family","Off-strategy","P1 Model present","No","Parametric files and multiple component variants; some geometric checks documented","Several READMEs explicitly require printer/tube/fit tests; qualification absent","UNKNOWN","Medium; moving filament and printer-operation context","Hold","Hold","No catalog item","Not initial","P3 LATER","Consolidate versions into one controlled product and test exact hardware interfaces","Includes feedthroughs, floor/rod holder, clips and feeder v1-v4","YES — controlled CAD/source + model artifact","products/printer-workshop/mm-tool-002-filament-drybox-system/01_bodenhalter_23_5mm_rohr_2x_drucken.3mf","2026-08-28"
