Record_Key,Record_Type,Record_ID,Parent_SKU_ID,Product,Product_Path,Purpose_or_Intended_Use,Purpose_Documented,Trend_Score_0_100,Priority_Score_0_100,Current_Preflight_Short,Complexity,Readiness,Criticality,Current_Lane,Wave,Advancement_Potential,Suggested_Target_R,Specific_Variant_IDs,Specific_Variant_Status,Bottleneck,Exact_Next_Evidence,Evidence_Boundary,Assessment_Status,Assessed_On,Register_Version
RESEARCH:SKU-001,RESEARCH_IDEA,SKU-001,,Exact-fit drawer grid organizer,,Turn a specific drawer and item collection into a zero-waste organizer layout.,YES,96.0,91.0,C3 · R2 · K1 · Lane E · LOW_UNKNOWN,C3,R2,K1,E,W3 CONTROLLED,MEDIUM,R3 NOMINAL DESIGN INPUTS,SKU-313; SKU-545; SKU-546; SKU-547; SKU-548; SKU-549; SKU-550,SPECIFIC R3 CHILD ADDED — GENERIC PARENT UNCHANGED,The generic parameter domain remains broader than the evidence. Readiness from the named child must not be copied back to the generic parent.,"Keep the generic parent unchanged; use SKU-313, SKU-545, SKU-546, SKU-547, SKU-548, SKU-549, SKU-550 for the named interface. Raise the parent only after multiple representative variants, explicit parameter limits, and boundary coupons pass.",Specific-child evidence is deliberately isolated; the generic parent retains its current preflight.,COMPLETE PORTFOLIO TRIAGE — NOT RELEASE APPROVAL,2026-08-31,1.0
RESEARCH:SKU-002,RESEARCH_IDEA,SKU-002,,Modular desktop tray system,,"Create mix-and-match trays for stationery, keys and small electronics.",YES,95.0,97.0,C2 · R2 · K1 · Lane E · LOW_UNKNOWN,C2,R2,K1,E,W1 HIGH-TREND / LOW-COMPLEXITY,HIGH,R3 NOMINAL DESIGN INPUTS,,NO SPECIFIC CHILD ADDED IN THIS PASS,"Concept inputs exist, but the exact named-interface and/or exact process baseline needed for R3 is open.","Replace the generic/E2 interface route with E3 nominal evidence for one named variant, pin the exact process, and define a measurable coupon.","This is a portfolio planning assessment. Market score, C/R/K/lane and product-release evidence remain separate.",COMPLETE PORTFOLIO TRIAGE — NOT RELEASE APPROVAL,2026-08-31,1.0
RESEARCH:SKU-003,RESEARCH_IDEA,SKU-003,,Desk-edge cable clip kit,,Keep frequently used charging cables accessible at a specific desk edge.,YES,95.0,97.0,C2 · R2 · K1 · Lane E · LOW_UNKNOWN,C2,R2,K1,E,W1 HIGH-TREND / LOW-COMPLEXITY,HIGH,R3 NOMINAL DESIGN INPUTS,,NO SPECIFIC CHILD ADDED IN THIS PASS,"Concept inputs exist, but the exact named-interface and/or exact process baseline needed for R3 is open.","Replace the generic/E2 interface route with E3 nominal evidence for one named variant, pin the exact process, and define a measurable coupon.","This is a portfolio planning assessment. Market score, C/R/K/lane and product-release evidence remain separate.",COMPLETE PORTFOLIO TRIAGE — NOT RELEASE APPROVAL,2026-08-31,1.0
RESEARCH:SKU-004,RESEARCH_IDEA,SKU-004,,Charging-cable docking bar,,Dock multiple charging cable ends so they do not fall behind furniture.,YES,94.0,92.0,C3 · R2 · K1 · Lane E · LOW_UNKNOWN,C3,R2,K1,E,W3 CONTROLLED,MEDIUM,R3 NOMINAL DESIGN INPUTS,,NO SPECIFIC CHILD ADDED IN THIS PASS,"Concept inputs exist, but the exact named-interface and/or exact process baseline needed for R3 is open.","Replace the generic/E2 interface route with E3 nominal evidence for one named variant, pin the exact process, and define a measurable coupon.","This is a portfolio planning assessment. Market score, C/R/K/lane and product-release evidence remain separate.",COMPLETE PORTFOLIO TRIAGE — NOT RELEASE APPROVAL,2026-08-31,1.0
RESEARCH:SKU-005,RESEARCH_IDEA,SKU-005,,Adjustable passive phone stand,,Hold a phone at a chosen viewing angle with or without a protective case.,YES,93.0,90.0,C3 · R2 · K1 · Lane E · LOW_UNKNOWN,C3,R2,K1,E,W3 CONTROLLED,MEDIUM,R3 NOMINAL DESIGN INPUTS,SKU-301,SPECIFIC R3 CHILD ADDED — GENERIC PARENT UNCHANGED,The generic parameter domain remains broader than the evidence. Readiness from the named child must not be copied back to the generic parent.,"Keep the generic parent unchanged; use SKU-301 for the named interface. Raise the parent only after multiple representative variants, explicit parameter limits, and boundary coupons pass.",Specific-child evidence is deliberately isolated; the generic parent retains its current preflight.,COMPLETE PORTFOLIO TRIAGE — NOT RELEASE APPROVAL,2026-08-31,1.0
RESEARCH:SKU-006,RESEARCH_IDEA,SKU-006,,Custom lipstick and tube grid,,Organize tubes upright in a grid matched to exact product diameters.,YES,92.0,95.0,C2 · R2 · K1 · Lane E · LOW_UNKNOWN,C2,R2,K1,E,W1 HIGH-TREND / LOW-COMPLEXITY,HIGH,R3 NOMINAL DESIGN INPUTS,,NO SPECIFIC CHILD ADDED IN THIS PASS,"Concept inputs exist, but the exact named-interface and/or exact process baseline needed for R3 is open.","Replace the generic/E2 interface route with E3 nominal evidence for one named variant, pin the exact process, and define a measurable coupon.","This is a portfolio planning assessment. Market score, C/R/K/lane and product-release evidence remain separate.",COMPLETE PORTFOLIO TRIAGE — NOT RELEASE APPROVAL,2026-08-31,1.0
RESEARCH:SKU-007,RESEARCH_IDEA,SKU-007,,Vertical makeup-palette organizer,,Store palettes and compacts vertically with customized slot spacing.,YES,91.0,91.0,C3 · R2 · K1 · Lane E · LOW_UNKNOWN,C3,R2,K1,E,W3 CONTROLLED,MEDIUM,R3 NOMINAL DESIGN INPUTS,,NO SPECIFIC CHILD ADDED IN THIS PASS,"Concept inputs exist, but the exact named-interface and/or exact process baseline needed for R3 is open.","Replace the generic/E2 interface route with E3 nominal evidence for one named variant, pin the exact process, and define a measurable coupon.","This is a portfolio planning assessment. Market score, C/R/K/lane and product-release evidence remain separate.",COMPLETE PORTFOLIO TRIAGE — NOT RELEASE APPROVAL,2026-08-31,1.0
RESEARCH:SKU-008,RESEARCH_IDEA,SKU-008,,Photo-to-relief portrait panel,,Convert a customer-owned photo into a shallow relief or lithophane-style panel.,YES,86.0,78.0,C2 · R0–R1 · K1 · Lane E · LOW_UNKNOWN,C2,R0–R1,K1,E,W1 HIGH-TREND / LOW-COMPLEXITY,HIGH,R3 NOMINAL DESIGN INPUTS,,NO SPECIFIC CHILD ADDED IN THIS PASS,Scope or interface remains generic and nominal interface/process/verification evidence is incomplete.,"Name one exact product revision, published standard, or measured interface; record E3 nominal data, pin one exact manufacturing profile, and define a thresholded interface coupon.","This is a portfolio planning assessment. Market score, C/R/K/lane and product-release evidence remain separate.",COMPLETE PORTFOLIO TRIAGE — NOT RELEASE APPROVAL,2026-08-31,1.0
RESEARCH:SKU-009,RESEARCH_IDEA,SKU-009,,Bedside passive device dock,,"Create one place for phone, watch strap, glasses and charging cables.",YES,92.0,86.0,C2 · R0–R1 · K1 · Lane E · LOW_UNKNOWN,C2,R0–R1,K1,E,W1 HIGH-TREND / LOW-COMPLEXITY,HIGH,R3 NOMINAL DESIGN INPUTS,,NO SPECIFIC CHILD ADDED IN THIS PASS,Scope or interface remains generic and nominal interface/process/verification evidence is incomplete.,"Name one exact product revision, published standard, or measured interface; record E3 nominal data, pin one exact manufacturing profile, and define a thresholded interface coupon.","This is a portfolio planning assessment. Market score, C/R/K/lane and product-release evidence remain separate.",COMPLETE PORTFOLIO TRIAGE — NOT RELEASE APPROVAL,2026-08-31,1.0
RESEARCH:SKU-010,RESEARCH_IDEA,SKU-010,,Exact-fit vanity drawer insert,,Create compartments around a user's actual cosmetics and tools.,YES,92.0,84.0,C2–C3 · R0–R1 · K1 · Lane E · LOW_UNKNOWN,C2–C3,R0–R1,K1,E,W3 CONTROLLED,MEDIUM,R3 NOMINAL DESIGN INPUTS,,NO SPECIFIC CHILD ADDED IN THIS PASS,Scope or interface remains generic and nominal interface/process/verification evidence is incomplete.,"Name one exact product revision, published standard, or measured interface; record E3 nominal data, pin one exact manufacturing profile, and define a thresholded interface coupon.","This is a portfolio planning assessment. Market score, C/R/K/lane and product-release evidence remain separate.",COMPLETE PORTFOLIO TRIAGE — NOT RELEASE APPROVAL,2026-08-31,1.0
