gruppe,prioritaet,menge,komponente,spezifikation,preis_min_eur,preis_max_eur,marktstatus_2026_08_13,quelle,hinweis
Fluggeraet,PFLICHT,1,FC/ESC-Stack,SpeedyBee F405 V5 + OX32 55A 30x30,95,125,aktuelle Generation,"https://www.speedybee.com/speedybee-f405-v5-55a-stack/","Beschaffungsbaseline; Betaflight offen, OX32-Firmware proprietaer"
Fluggeraet,PFLICHT,4,Motor,EMAX ECO II 2207 2400KV fuer 4S,72,88,Hersteller in stock,"https://shop.emaxmodel.com/products/emax-eco-ii-series-2207-3-6s-1700kv-1900kv-2400kv-brushless-motor-for-rc-drone-fpv-racing","Gesamtpreis fuer vier; zuerst 5x3.1x3 und Motor-Output-Limit pruefen"
Fluggeraet,PFLICHT,3,Propellersatz,HQProp Ethix S3 5x3.1x3,12,18,EU-Lagerangebote vorhanden,"https://www.readymaderc.com/products/details/hq-prop-ethix-s3-watermelon-propeller","Mindestens drei Saetze; Drehrichtung passend bestellen"
Fluggeraet,PFLICHT,1,Funkempfaenger,RadioMaster RP1 V2 ELRS 2.4GHz LBT,19,25,Hersteller verfuegbar,"https://radiomasterrc.com/products/rp1-expresslrs-2-4ghz-nano-receiver","LBT/CE-Variante fuer EU; TX/RX gleiche ELRS-Hauptversion"
Fluggeraet,PFLICHT,1,LiPo,CNHL Black 4S 1300mAh XT60,19.5,25,EU-Lagerangebot,"https://www.prodroneparts.com/en/shop/1301304bk-battery-cnhl-black-series-lipo-4s-1300mah-130c-xt60-v2-1008","Abmessungen vor Bestellung gegen 80x52-mm-Deck pruefen"
Fluggeraet,PFLICHT,1,CFK-Vierkantrohr,10x10x1 mm 1000 mm,10.5,19.2,deutsche Anbieter verfuegbar,"https://shop.carbon-shop.eu/Carbon-Vierkant-Rohr-100x100-x-1000-mm-CFK","Vier Stuecke 103 mm; Rest reicht fuer Ersatzarme"
Fluggeraet,PFLICHT,0.13,PA-CF-Filament,PA11-CF oder PA612-CF15 getrocknet,8,13,gaengiges Engineering-Filament,"https://prusament.com/materials/prusament-pa11-nylon-carbon-fiber/","Verbrauchspreis; Kauf einer Spule eher 45-75 EUR; PETG nur Passprototyp"
Fluggeraet,PFLICHT,1,Schraubenpaket,"M3 Durchgangsschrauben, Scheiben, Nyloc, 25-mm-Alu-Abstandshalter",20,35,Normteile breit verfuegbar,"","Keine Heat-Set-Inserts in primaeren Klemmlastpfaden"
Fluggeraet,PFLICHT,1,Kabelsatz,"12-14AWG XT60, Motorkabel, Schrumpfschlauch, Gewebeschlauch, Gurte",15,25,Normteile breit verfuegbar,"","Motorleitungen aussen am CFK fuehren; Kanten und Staub isolieren"
Fluggeraet,PFLICHT,1,Autonomer Buzzer,VIFLY Finder 2,13.5,18,Hersteller verfuegbar,"https://viflydrone.com/products/vifly-finder-v2-fpv-racing-drone-buzzer","Eigener Akku erleichtert Bergung nach Hauptakkuverlust"
Werkstatt,PFLICHT,1,Fernsteuerung,RadioMaster Pocket M2 ELRS LBT,71.5,90,Hersteller verfuegbar,"https://radiomasterrc.com/products/pocket-radio-controller-m2","EdgeTX; zwei passende 18650-Zellen separat"
Werkstatt,PFLICHT,2,18650-Zelle,geschuetzte/geeignete Zellen gemaess Senderhandbuch,10,18,breit verfuegbar,"","Keine unbekannten oder beschaedigten Zellen"
Werkstatt,PFLICHT,1,Ladegeraet,SkyRC B6ACneo,49.8,65,EU-Angebot in stock,"https://www.skyrc.com/b6acneo","Balance-Laden; Herstellerhandbuch und feuerfeste Ladeumgebung"
Werkstatt,PFLICHT,1,Kurzschlussschutz,VIFLY ShortSaver 2,13,20,Hersteller verfuegbar,"https://viflydrone.com/products/vifly-shortsaver-v2-smart-smoke-stopper","Fuer jede erste Inbetriebnahme nach Loetarbeiten"
Werkstatt,PFLICHT,1,LiPo-Sicherheitszubehoer,Ladebehaelter und Spannungspruefer,8,20,breit verfuegbar,"","Kein Ersatz fuer Aufsicht und geeigneten Ladeort"
Optional,OPTIONAL,1,GPS,Flywoo GM10 Mini V3 M10,20.5,25,EU-Shop in stock,"https://www.rotorama.com/product/sequre-1-goku-gm10-mini-v3-gps","Nur nach Basisflug; GPS Rescue separat testen"
Optional,OPTIONAL,1,Analog-VTX,SpeedyBee TX800 5.8GHz,34,45,Herstellerangebot,"https://www.speedybee.com/speedybee-tx800/","Nur zulaessige Kanaele/Leistung; Antenne vor Einschalten montieren"
Optional,OPTIONAL,1,Analogkamera,Foxeer Razer Mini V3,23,30,Herstellerangebot,"https://www.foxeer.com/foxeer-razer-mini-v3-fpv-camera-g-593","Bestand beim Kauf pruefen; Kamera-Halter ist missionsspezifisch"
